"country","budget_name","office_name","amount","agency_name","agency","year","budget_code","program","office"
Uganda,Adult Care and Support,HHS/NIH,0,HHS/ALL,HHS/ALL,2012,HBHC,Care,HHS/NIH
Uganda,Adult Care and Support,HHS/NIH,0,HHS/ALL,HHS/ALL,2013,HBHC,Care,HHS/NIH
Uganda,Orphans and Vulnerable Children,USAID,6535903,USAID,USAID,2005,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,1.2348815E7,USAID,USAID,2006,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,1.7557012E7,USAID,USAID,2007,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,2.2600992E7,USAID,USAID,2008,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,2.2582828E7,USAID,USAID,2009,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,2.2775778E7,USAID,USAID,2010,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,2.2400778E7,USAID,USAID,2011,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,2.0089256E7,USAID,USAID,2012,HKID,Care,USAID
Uganda,Orphans and Vulnerable Children,USAID,2.0793364E7,USAID,USAID,2013,HKID,Care,USAID
Uganda,TB/HIV,Dept. of State,20690,Dept. of State,DOS,2005,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2006,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,38709,Dept. of State,DOS,2006,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2007,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,97170,Dept. of State,DOS,2007,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,270000,Dept. of State,DOS,2008,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2008,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,70000,Dept. of State,DOS,2008,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2009,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2009,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,69291,Dept. of State,DOS,2009,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2010,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2010,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,69291,Dept. of State,DOS,2010,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2011,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2011,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,69291,Dept. of State,DOS,2011,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2012,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2012,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,7469,Dept. of State,DOS,2012,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2013,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,0,Dept. of State,DOS,2013,HVTB,Care,DOS
Uganda,TB/HIV,Dept. of State,7469,Dept. of State,DOS,2013,HVTB,Care,DOS
Uganda,TB/HIV,USAID,1494160,USAID,USAID,2005,HVTB,Care,USAID
Uganda,TB/HIV,USAID,2281324,USAID,USAID,2006,HVTB,Care,USAID
Uganda,TB/HIV,USAID,4335000,USAID,USAID,2007,HVTB,Care,USAID
Uganda,TB/HIV,USAID,4728564,USAID,USAID,2008,HVTB,Care,USAID
Uganda,TB/HIV,USAID,4739289,USAID,USAID,2009,HVTB,Care,USAID
Uganda,TB/HIV,USAID,4142715,USAID,USAID,2010,HVTB,Care,USAID
Uganda,TB/HIV,USAID,4440686,USAID,USAID,2011,HVTB,Care,USAID
Uganda,TB/HIV,USAID,2767079,USAID,USAID,2012,HVTB,Care,USAID
Uganda,TB/HIV,USAID,3633448,USAID,USAID,2013,HVTB,Care,USAID
Uganda,TB/HIV,Dept. of Defense,0,Dept. of Defense,Defense,2005,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,0,Dept. of Defense,Defense,2006,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,50000,Dept. of Defense,Defense,2007,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,100000,Dept. of Defense,Defense,2008,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,98987,Dept. of Defense,Defense,2009,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,98987,Dept. of Defense,Defense,2010,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,98987,Dept. of Defense,Defense,2011,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,396021,Dept. of Defense,Defense,2012,HVTB,Care,Defense
Uganda,TB/HIV,Dept. of Defense,396021,Dept. of Defense,Defense,2013,HVTB,Care,Defense
Uganda,TB/HIV,HHS/ALL,1648511,HHS/ALL,HHS/ALL,2005,HVTB,Care,HHS/ALL
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2005,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2006,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2007,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2008,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2009,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2010,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2011,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2012,HVTB,Care,Peace
Uganda,TB/HIV,Peace Corps,0,Peace Corps,Peace,2013,HVTB,Care,Peace
Uganda,TB/HIV,HHS/CDC,1848267,HHS/ALL,HHS/ALL,2006,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/CDC,3666013,HHS/ALL,HHS/ALL,2007,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/CDC,4205000,HHS/ALL,HHS/ALL,2008,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/CDC,4371043,HHS/ALL,HHS/ALL,2009,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/CDC,4703778,HHS/ALL,HHS/ALL,2010,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/CDC,4576888,HHS/ALL,HHS/ALL,2011,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/CDC,4194409,HHS/ALL,HHS/ALL,2012,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/CDC,3901852,HHS/ALL,HHS/ALL,2013,HVTB,Care,HHS/CDC
Uganda,TB/HIV,HHS/HRSA,13625,HHS/ALL,HHS/ALL,2006,HVTB,Care,HHS/HRSA
Uganda,TB/HIV,HHS/HRSA,30000,HHS/ALL,HHS/ALL,2007,HVTB,Care,HHS/HRSA
Uganda,TB/HIV,HHS/HRSA,100000,HHS/ALL,HHS/ALL,2008,HVTB,Care,HHS/HRSA
Uganda,TB/HIV,HHS/HRSA,98987,HHS/ALL,HHS/ALL,2009,HVTB,Care,HHS/HRSA
Uganda,TB/HIV,HHS/HRSA,98987,HHS/ALL,HHS/ALL,2010,HVTB,Care,HHS/HRSA
Uganda,TB/HIV,HHS/HRSA,0,HHS/ALL,HHS/ALL,2011,HVTB,Care,HHS/HRSA
Uganda,TB/HIV,HHS/NIH,0,HHS/ALL,HHS/ALL,2011,HVTB,Care,HHS/NIH
Uganda,TB/HIV,HHS/NIH,0,HHS/ALL,HHS/ALL,2012,HVTB,Care,HHS/NIH
Uganda,TB/HIV,HHS/NIH,0,HHS/ALL,HHS/ALL,2013,HVTB,Care,HHS/NIH
Uganda,Pediatric Care and Support,USAID,0,USAID,USAID,2005,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,0,USAID,USAID,2006,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,0,USAID,USAID,2007,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,0,USAID,USAID,2008,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,3318653,USAID,USAID,2009,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,2540653,USAID,USAID,2010,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,3218653,USAID,USAID,2011,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,364080,USAID,USAID,2012,PDCS,Care,USAID
Uganda,Pediatric Care and Support,USAID,478061,USAID,USAID,2013,PDCS,Care,USAID
Uganda,Pediatric Care and Support,HHS/ALL,0,HHS/ALL,HHS/ALL,2005,PDCS,Care,HHS/ALL
Uganda,Pediatric Care and Support,HHS/CDC,0,HHS/ALL,HHS/ALL,2006,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/CDC,0,HHS/ALL,HHS/ALL,2007,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/CDC,0,HHS/ALL,HHS/ALL,2008,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/CDC,1949550,HHS/ALL,HHS/ALL,2009,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/CDC,2678961,HHS/ALL,HHS/ALL,2010,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/CDC,2752961,HHS/ALL,HHS/ALL,2011,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/CDC,753107,HHS/ALL,HHS/ALL,2012,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/CDC,1775884,HHS/ALL,HHS/ALL,2013,PDCS,Care,HHS/CDC
Uganda,Pediatric Care and Support,HHS/NIH,0,HHS/ALL,HHS/ALL,2011,PDCS,Care,HHS/NIH
Uganda,Pediatric Care and Support,HHS/NIH,0,HHS/ALL,HHS/ALL,2012,PDCS,Care,HHS/NIH
Uganda,Pediatric Care and Support,HHS/NIH,0,HHS/ALL,HHS/ALL,2013,PDCS,Care,HHS/NIH
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2005,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2006,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2006,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,1350000,Dept. of State,DOS,2007,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2007,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,1400000,Dept. of State,DOS,2008,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2008,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2008,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,1400000,Dept. of State,DOS,2009,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2009,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2009,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2010,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2010,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2010,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2011,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2011,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2011,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2012,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2012,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2012,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2013,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2013,HMBL,Prevention,DOS
Uganda,Blood Safety,Dept. of State,0,Dept. of State,DOS,2013,HMBL,Prevention,DOS
Uganda,Blood Safety,USAID,42510,USAID,USAID,2005,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2006,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2007,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2008,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2009,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2010,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2011,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2012,HMBL,Prevention,USAID
Uganda,Blood Safety,USAID,0,USAID,USAID,2013,HMBL,Prevention,USAID
Uganda,Blood Safety,HHS/ALL,4622323,HHS/ALL,HHS/ALL,2005,HMBL,Prevention,HHS/ALL
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2005,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2006,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2007,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2008,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2009,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2010,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2011,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2012,HMBL,Prevention,Peace
Uganda,Blood Safety,Peace Corps,0,Peace Corps,Peace,2013,HMBL,Prevention,Peace
Uganda,Blood Safety,HHS/CDC,2476440,HHS/ALL,HHS/ALL,2006,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/CDC,3300000,HHS/ALL,HHS/ALL,2007,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/CDC,3500000,HHS/ALL,HHS/ALL,2008,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/CDC,3500000,HHS/ALL,HHS/ALL,2009,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/CDC,3218000,HHS/ALL,HHS/ALL,2010,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/CDC,3000000,HHS/ALL,HHS/ALL,2011,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/CDC,2009189,HHS/ALL,HHS/ALL,2012,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/CDC,2026197,HHS/ALL,HHS/ALL,2013,HMBL,Prevention,HHS/CDC
Uganda,Blood Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2006,HMBL,Prevention,HHS/HRSA
Uganda,Blood Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2007,HMBL,Prevention,HHS/HRSA
Uganda,Blood Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2008,HMBL,Prevention,HHS/HRSA
Uganda,Blood Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2009,HMBL,Prevention,HHS/HRSA
Uganda,Blood Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2010,HMBL,Prevention,HHS/HRSA
Uganda,Blood Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2011,HMBL,Prevention,HHS/HRSA
Uganda,Blood Safety,HHS/NIH,0,HHS/ALL,HHS/ALL,2011,HMBL,Prevention,HHS/NIH
Uganda,Blood Safety,HHS/NIH,0,HHS/ALL,HHS/ALL,2012,HMBL,Prevention,HHS/NIH
Uganda,Blood Safety,HHS/NIH,0,HHS/ALL,HHS/ALL,2013,HMBL,Prevention,HHS/NIH
Uganda,Injection Safety,USAID,2556736,USAID,USAID,2005,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,2392584,USAID,USAID,2006,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,618336,USAID,USAID,2007,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,2775084,USAID,USAID,2008,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,382500,USAID,USAID,2009,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,752500,USAID,USAID,2010,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,382500,USAID,USAID,2011,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,0,USAID,USAID,2012,HMIN,Prevention,USAID
Uganda,Injection Safety,USAID,0,USAID,USAID,2013,HMIN,Prevention,USAID
Uganda,Injection Safety,HHS/ALL,65466,HHS/ALL,HHS/ALL,2005,HMIN,Prevention,HHS/ALL
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2005,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2006,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2007,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2008,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2009,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2010,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2011,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2012,HMIN,Prevention,Peace
Uganda,Injection Safety,Peace Corps,0,Peace Corps,Peace,2013,HMIN,Prevention,Peace
Uganda,Injection Safety,HHS/CDC,65466,HHS/ALL,HHS/ALL,2006,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/CDC,200000,HHS/ALL,HHS/ALL,2007,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/CDC,200000,HHS/ALL,HHS/ALL,2008,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/CDC,200000,HHS/ALL,HHS/ALL,2009,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/CDC,200000,HHS/ALL,HHS/ALL,2010,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/CDC,200000,HHS/ALL,HHS/ALL,2011,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/CDC,200000,HHS/ALL,HHS/ALL,2012,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/CDC,210478,HHS/ALL,HHS/ALL,2013,HMIN,Prevention,HHS/CDC
Uganda,Injection Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2006,HMIN,Prevention,HHS/HRSA
Uganda,Injection Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2007,HMIN,Prevention,HHS/HRSA
Uganda,Injection Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2008,HMIN,Prevention,HHS/HRSA
Uganda,Injection Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2009,HMIN,Prevention,HHS/HRSA
Uganda,Injection Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2010,HMIN,Prevention,HHS/HRSA
Uganda,Injection Safety,HHS/HRSA,0,HHS/ALL,HHS/ALL,2011,HMIN,Prevention,HHS/HRSA
Uganda,Injection Safety,HHS/NIH,0,HHS/ALL,HHS/ALL,2011,HMIN,Prevention,HHS/NIH
Uganda,Injection Safety,HHS/NIH,0,HHS/ALL,HHS/ALL,2012,HMIN,Prevention,HHS/NIH
Uganda,Injection Safety,HHS/NIH,0,HHS/ALL,HHS/ALL,2013,HMIN,Prevention,HHS/NIH
Uganda,HIV Testing and Counseling,USAID,5855417,USAID,USAID,2005,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,5081836,USAID,USAID,2006,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,6714000,USAID,USAID,2007,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,7085000,USAID,USAID,2008,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,6999000,USAID,USAID,2009,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,6425310,USAID,USAID,2010,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,6425310,USAID,USAID,2011,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,5755479,USAID,USAID,2012,HVCT,Prevention,USAID
Uganda,HIV Testing and Counseling,USAID,6479775,USAID,USAID,2013,HVCT,Prevention,USAID
Uganda,Antiretroviral Drugs,USAID,9250160,USAID,USAID,2005,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,1.21376E7,USAID,USAID,2006,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,1.3508754E7,USAID,USAID,2007,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,1.284E7,USAID,USAID,2008,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,1.084E7,USAID,USAID,2009,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,1.852272E7,USAID,USAID,2010,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,1.5653E7,USAID,USAID,2011,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,2.0857798E7,USAID,USAID,2012,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,USAID,2.0068624E7,USAID,USAID,2013,HTXD,Treatment,USAID
Uganda,Antiretroviral Drugs,HHS/HRSA,6762370,HHS/ALL,HHS/ALL,2006,HTXD,Treatment,HHS/HRSA
Uganda,Antiretroviral Drugs,HHS/HRSA,7000000,HHS/ALL,HHS/ALL,2007,HTXD,Treatment,HHS/HRSA
Uganda,Antiretroviral Drugs,HHS/HRSA,7762370,HHS/ALL,HHS/ALL,2008,HTXD,Treatment,HHS/HRSA
Uganda,Antiretroviral Drugs,HHS/HRSA,7762370,HHS/ALL,HHS/ALL,2009,HTXD,Treatment,HHS/HRSA
Uganda,Antiretroviral Drugs,HHS/HRSA,7661937,HHS/ALL,HHS/ALL,2010,HTXD,Treatment,HHS/HRSA
Uganda,Antiretroviral Drugs,HHS/HRSA,876792,HHS/ALL,HHS/ALL,2011,HTXD,Treatment,HHS/HRSA
Uganda,Antiretroviral Drugs,HHS/NIH,0,HHS/ALL,HHS/ALL,2011,HTXD,Treatment,HHS/NIH
Uganda,Antiretroviral Drugs,HHS/NIH,0,HHS/ALL,HHS/ALL,2012,HTXD,Treatment,HHS/NIH
Uganda,Antiretroviral Drugs,HHS/NIH,0,HHS/ALL,HHS/ALL,2013,HTXD,Treatment,HHS/NIH
Uganda,Adult Treatment,Dept. of State,0,Dept. of State,DOS,2005,HTXS,Treatment,DOS
Uganda,Adult Treatment,Dept. of State,0,Dept. of State,DOS,2006,HTXS,Treatment,DOS
Uganda,Adult Treatment,Dept. of State,0,Dept. of State,DOS,2006,HTXS,Treatment,DOS
Uganda,Adult Treatment,Dept. of State,0,Dept. of State,DOS,2007,HTXS,Treatment,DOS
Uganda,Adult Treatment,Dept. of State,0,Dept. of State,DOS,2007,HTXS,Treatment,DOS
Uganda,Adult Treatment,Dept. of State,0,Dept. of State,DOS,2008,HTXS,Treatment,DOS
Uganda,Adult Treatment,Dept. of State,0,Dept. of State,DOS,2008,HTXS,Treatment,DOS
