ABISON  MEDICAL CLINIC,"TWINOMUGISHA ABIAS,KYARISIIMA WILSON",DR TURYHIKAYO JACK,"154/155, BOMBO RD",WANDEGEYA,KAWEMPE,KAMPALA,,,,
ABLE MEDICAL CLINIC,NABUKENYA ZULAIKAH,DR BYAMUKAMA AGABA VENANCIO,,,,,"LIRA, ADYEL",MUNICIPALITY,,LIRA
ABOKE MISSION HEALTH CENTRE II,UCMB,DHO,"57, GO-DOWN ROAD",,MUNICIPALITY,ARUA,,,,
ABRAHMAH MEDICAL CENTRE,GARBI UGANDA DA-AWA ASS,DR MWESIGYE ISMAIL,,,,,SEGUKU TRADING CENTRE,MAKINDYE,KYADONDO,WAKISO
ABUNDANT GRACE CLINIC,JUSTINE NALWADDA,DR NABUKENYA JENNIFER MARYANNE,,,,,"LUWERO, MKT ST.",KATIKAMU,KATIKAMU,LUWERO
ABUNDANT LIFE MEDICAL SERVICES,WINNING LIFE MINISTRIES,DR OBORE SUSAN,,,,,ABONGODERO,ABOKE,,KOLE
ABUYANDA HEALTH CENTRE III,UCMB,DHO,MASAKA,,NYENDO SSENYANGE,MASAKA,,,,
ACCESS DENTAL CARE,KALYESUBULA ALLAN EDWARD BOSA,DR KALYESUBULA ALLAN EDWARD,KABALE RD,KITUBULU,WAKISO,WAKISO,,,,
ACCESS MEDICAL CENTRE,KAJUMBA VIOLET,DR BYAMUKAMA AGABA,"135,KIWAFU ROAD",,,WAKISO,,,,
ACCESS MEDICAL SERVICES,EREMA J. PETER,DR BYARUHANGA CRESCENT,,,,,KABUYANDA,KABUYANDA,ISINGIRO SOUTH,ISINGIRO
ACCESS UGANDA MEDICAL CLINIC,OKELLO JIMMY,DR OKELLO JIMMY,"128,OLD KIRA  ROAD",,NAKAWA,KAMPALA,,,,
ACF UGANDA KIGARAMA,AFRICAN CHRISTIAN FELLOWSHIP (ACF),DR ASIIMWE SOLOMON,LUKULI,,MAKINDYE,KAMPALA,,,,
ACHERU REHABILILATION MEDICAL UNIT,ACHERU,DR LORO ANTONIO,"7339, WABIGALO-NAMUWONGO",,MAKINDYE,KAMPALA,,,,
ACT NOW CONSULTATION CLINIC,KIWANUKA ROBERT & NAKAGGWA SHEILA,DR GONAHASA SAMUEL,KALERWE,,KAWEMPE,KAMPALA,,,,
ACTV CLINIC,ACTV,DR KYAZZE DAVID,IBANDA,,TOWN COUNCIL,KABAROLE,,,,
ACUMRA MBARARA MILLENIUM MEDICAL CENTRE,"MWESIGE JOSEPH, MBAMBU ELIZABETH",DR MWESIGE JOSEPH,,,,,KALAGI TRADING CENTRE,,KYAMPISI,MUKONO
ACUTE HEALTH CARE,NAMBUYA NNUNGI SALIMA,DR KASIBANTE DEOGRATIUS,"ZONE 4, NAKULABYE",,RUBAGA,KAMPALA,,,,
ADA MEDICAL CENTRE,MUDIOPE PETER,DR MUDIOPE PETER,"113, OWEN ROAD,KAWEMPE",,CENTRAL,KAMPALA,,,,
ADAM HEALTH CARE SERVICES,IDRIS ADAM MOHAMED,DR IDRIS ADAM MOHAMED,KAKOBA CENTRAL,,KAKOBA,MBARARA,,,,
ADAMZ MEDICAL CENTRE,NATUKUNDA REHEMA,DR KISWEZI KAZIGO AHMED,,,,,KASAWO T/C,KASAWO,,MUKONO
ADJUMANI HEALTH CENTRE,UCMB,DHO,,,,,ZANA,SSABAGABO,KYADONDO,KAMPALA
ADJUMANI MISSION HEALTH CENTRE III,ARUA DIOCESE,DHO,BUKESA,,LUBAGA,KAMPALA,,,,
ADONGO FLORENCE MEMORIAL CLINIC,OKIA DAVID,DR OKIA DAVID,,NATETE CENTRAL ZONE D,RUBAGA,KAMPALA,,,,
ADONIA MEDI-CARE CLINIC,KATUSABE JULIAN,DR SSETAALA ALI,,,,,CESIA,ADROPI,EAST MOYO,ADJUMANI
ADUKU HEALTH CENTRE II,UCMB,DHO,,,,,CESI,ADJUMANI TOWN COUNCIL,,ADJUMANI
ADUMI HEALTH CLINIC,ARUA DIOCESE,DHO,,,,,AGULE ROAD,GOGONYO,,PALIISA
ADVANCED MEDICAL CENTRE,OWERE NIMROD,DR BANTURA LEONARD,BWEYOGERERE,,BWEYOGERERE KITO,KIIRA,,,,
ADVANCED SKIN CLINIC,ADVANCED SKIN CLINIC,DR ASABA ROBERT,,,,,OLAMI A,KWANIA,ADUKU,APAC
ADVENTIST MEDICAL CENTRE,SDA,DR BIRARO SAMUEL JUNIOR,MITE,ARUA,ADUMI,ARUA,,,,
ADYEGI MEDICAL CLINIC,OBURA GEOFREY KODJO,DR ACANGA ALFRED,NAMUWONGO PARISH,,MAKINDYE,KAMPALA,,,,
AFAAYO CHILD HEALTH & REHABILITATION CENTRE,ACHERU,DR OKELLO JUSTIN,KAMPALA,,MAKINDYE,KAMPALA,,,,
AFAAYO CLINIC,NAMUSISI CHRISTINE KIBIRIGE,DR LUBULWA SESSANDA EDWARD,"128-136, MAKERERE HILL RD",KAGUGUBE PARISH,CENTRAL,KAMPALA,,,,
AFAYO CLINIC,WAIRA MICHAEL NATHAN,DR BATAMBUZE L MAJID,,,,,LIRA,,LIRA,LIRA
AFIA MEDICAL CLINIC,LOTOR MUHAMMAD RAJAB,DR LOTOR MUHAMMAD RAJAB,,,,,KABEMBE,KYAMPISI,,MUKONO
AFIYA MEDICAL CLINIC,MUTATTIRA PAUL L,DR MUTATTIRA PAUL L,BULENGA,,WAKISO,WAKISO,,,,
AFRICA PREMIER HEALTH,SERUBIDDE KAKYAMA ZACHARY,DR SERUBIDDE KAKYAMA ZACHARY,,,,,BUSEGA,RUBAGA,,KAMPALA
AFRICA WITH LOVE HEALTH CENTRE,GEORGE AND ROSEMARY WILLARD,DR MUTYOGOMA JOSEPH,"102-BLOCK 1026, LUWEERO",,TOWN COUNCIL,LUWERO,,,,
AFRICAN VILLAGE HEALTH CENTRE,AFRICAN VILLAGE COMM. DEVT FOR UGANDA,DR MUKISA EMMANUEL,"828, BOMBO RD",BATAKA ZONE MAKERERE I,KAWEMPE,KAMPALA,,,,
AFRIKA - EURO HEALTH CENTRE,AFRIKA-EURO,DR BYABASHAIJA ALOYSIUS,"3,KAYUNGA ROAD",,CENTRAL,KAMPALA,,,,
AFYA CLINIC,BAGANIZI MICHEAL,DR BAGANIZI MICHEAL,,,,,KYAJUBIRA,BUKOTO,BUKOTO EAST,MASAKA
AFYA MEDICAL AND DIAGNOSTIC CENTRE,KALIMBA MATHIAS,DR BASAZA ROBERT KANYARUTOKYE,,,,,BULAGA,WAKISO,,WAKISO
AFYA NJEMA DIAGNOSTIC MEDICAL CENTRE,BUKWIRWA HENRY WILLIAM,DR BUKWIRWA HENRY WILLIAM,,,,,NAMAWOJJA,ZIROBWE,BAMUNANIKA,LUWERO
AGAKHAN HEALTH SERVICES ACACIA MEDICAL CENTRE,AMAAN KHALFAN/ OSIRO MARTHA,DR ETUKET ANDREW,,,,,RUSIZA,KISORO TC,BUFUMBIRA,KISORO
AGAKHAN HEALTH SERVICES BUGOLOBI MEDICAL CENTRE,AMAAN KHALFAN/ OSIRO MARTHA,DR TUSIIME SUSAN,"3, MARGHERITA RD",,TOWN COUNCIL,KASESE,,,,
AGAKHAN HEALTH SERVICES METROPLEX MEDICAL CENTRE,"AMAAN KHALIFAN,OSIRO MARTHA",DR TINO SUSAN,,,,,KIHIHI,KIHIHI,,KANUNGU
AGAKHAN UNIVERSITY MEDICAL CENTRE,"AMAAN KHALFAN, OSIRO MARTHA",DR MBAAGA AKAMPA MUKUVE,"8A-12A,COOPER ROAD",,CENTRAL,KAMPALA,,,,
AGALI AWAMU CLINIC,KISAKYE DEBORAH,DR LUGOLOOBI MATHIAS,"20-24,BUGOLOBI",,NAKAWA,KAMPALA,,,,
AGALI TOP QUALITY CLINIC,MUTYABA NELSON & MUTYABA BETTY,DR NDUGWA MAGALA CHRISTOPHER,"PLOT 2112,KAMPALA",,NAKAWA,KAMPALA,,,,
AGALIAWAMU HEALTH CLINIC,NASSANGA RUTH JANE,DR NASSANGA RUTH JANE,"16/17,KAMPALA ROAD",,CENTRAL,KAMPALA,,,,
AGAPE CLINIC,NSAMBYA PENTECOSTAL CHURCH,DR GANGAVARAPU SUCHITRAMALA,,,,,"KAMULI ROAD,KIREKA",,KIRA TC,WAKISO
AGAPE MEDICAL CENTRE,NANKYA DOREEN,DR KISALU MARCEL,KIGAGGA ZONE,,LUBAGA,KAMPALA,,,,
AGAPE MEDICAL CENTRE,ROCK CHURCH MINISTRIES,DR KAGIMU RICHARD MUSOKE,NAKULABYE TC,,RUBAGA,KAMPALA,,,,
AGAPE MEDICAL CENTRE,ROCK CHURCH MINISTRIES,DR MULAMIRA PIUS,HOIMA ROAD,,RUBAGA,KAMPALA,,,,
AGAPE MEDICAL CENTRE NATIONAL PENTECOSTL,AGAPE MEDICAL CENTRE NATIONAL PENTECOSTL,DR GANGAVARAPU SUCHITRAMALA,NDEEBA,,LUBAGA,KAMPALA,,,,
AGAPE NURSING HOME,REV. NKUSI EMMANUEL,DR MUSIITWA MICHEAL MUGWANYA,KIWATULE,,NAKAWA,KAMPALA,,,,
AGAPEH MEDICAL CENTRE,NIYONSHIMA ALEX,DR KIRUNDA STEPHEN,KASANGATI,,NANGABO,WAKISO,,,,
AGATHA FOUNDATION MEDICAL CENTRE,THE AGATHA FOUNDATION MEDICAL CENTRE,DR ISABIRYE FREDRICK DANIEL,"865/867,BUKASA PARISH",,RUBAGA,KAMPALA,,,,
AGETERAINE NURSING HOME,BYABANYAGI SANYU WILSON,DR BYABAMYAGI SANYU W,KIBOGA,,KIBOGA TOWN COUNCIL,KIBOGA,,,,
AGGIE CLINIC,"NAKAGGWA STELLA M., SEBAGGALA EDWARD",DR SEBAGGALA EDWARD,,,,,BUSABALA LANDING SITE,MAKINDYE,KYADONDO SOUTH,WAKISO
AGIERMACH WARR H/C III,UCMB,DHO NEBBI DISTRICT,"7, BAGARUKAYO CLOSE,MASESE",,MUNICIPALITY,JINJA,,,,
AGOJO GRADE II HEALTH CENTRE,AFRICA HUMANITARIAN ACTION,DR OMARA OWINO CHRIS,"7,MALIBO RD",BAZAAR,SOUTH,KABAROLE,,,,
AGONGA KARIN COMMUNITY HEALTH CENTRE II,MRS. OKENY HOPE,DR ODONGO PAUL,MAKINDYE,,MAKINDYE,KAMPALA,,,,
AGULE COMMUNITY HEALTH CENTRE,AGULE COMMUNITY HEALTH CENTRE,DR OKIA DAVID,,,,,AKWERALI,WARR,OKORO,ZOMBO
AHABWE HEALTH CLINIC,MBYEMEIRE P.B.,DR MBYEMEIRE B P,,,,,AGOJO,ADROPI,ADJUMANI,ADJUMANI
AHMADIYYA MUSLIM MEDICAL CENTRE,AHMADIYA MUSLIM ASSOCIATION,DR MUBASHIR NADEEM,PATIKO ROAD,,BUNGATIRA,GULU,,,,
AIA MEDICAL CENTRE,MOHAMED AFZAL BHOLIM,DR MOHAMED AFZAL BHOLIM,,,,,PASIA ROAD,AGULE,,PALLISA
AIDCHILD CLINIC & LABORATORY,AIDCHILD UGANDA LTD.,DR BANURA PATRICK,"37C, OLD MBARARA PARK",PARK,,NTUNGAMO,,,,
AINE POLY-CLINIC (APC),NATHAN KENYA-MUGISHA,DR NATHAN KENYA-MUGISHA,"46/52, KUMI RD",,NORTHERN,MBALE,,,,
AIRPORT MEDICAL CENTRE,EYUL JAMES,DR EYUL JAMES,"16, MARTIN RD",CENTRAL,CENTRAL,KAMPALA,,,,
AISHA DOCTOR'S CLINIC,JJUUKO AISHA,DR ZZIWA CHARLES,"31, MBARARA HIGHWAY",,"KIMANYA,KYABAKUZA",MASAKA,,,,
AISHA MEDICAL CENTRE,MUKASA MARIAM,DR KASOZI CHARLES,,,,,KABUYANDA,RUBOROGOTA,,ISINGIRO
AKAMBYE HEALTH CENTRE,AKAMBYE FAITH BASED ORGANISATION,DHO,ENTEBBE AIRPORT ARRIVALS,,ENTEBBE,WAKISO,,,,
AKANKWASA GENERAL CLINIC & YOUTH CORNER,AKANKWASA GENERAL CLINIC & YOUTH CORNER,DR OLUKA OKIA MILTON JAMES,,,,,"OLD MASAKA RD,NATEETE",RUBAGA,KYADONDO,KAMPALA
AKIA ST. FRANCIS HEALTH CENTRE II,UCMB,DHO LIRA,,,,,KASUBI,RUBAGA,,KAMPALA
AKISYON A YESU PRESBYTERIAN CLINIC,ORTHODOX PRESBYTERIAN CHURCH,DHO,BUWALA TRADING CENTRE,,BUTARAJA,JINJA,,,,
AKRIGHT HEALTH CENTRE-KAKUNGULU,BANYENZAKI MEMORIAL HEALTH SERVICES,DR BARYOMUNSI CHRIS,,KIBULI,MAKINDYE,KAMPALA,,,,
AKUCHA COMMUNITY CLINIC,QUINTO D. OKELLO,DR OKELLO QUINTO,,,,,ABONYO-OTINGERE,ADEKOKWOK,ERUTE SOUTH,LIRA
AKUGOBA CLINIC,NAMUGANGA ESTHER,,,,,,NAAKALE,NAMALU,NAPERENYA,NAKAPIRIPIRIT
AKWATA EMPOLA CLINIC,TWEBAZE JACINTA,DR AMPAIRE IMMACULATE,,,,,KAKUNGULU,SSISA,,WAKISO
ALAM MEDICAL CENTRE,ALAM GROUP OF COMPANIES,DR RATHOD GAVRABHAI KUNVARBHAI,"97, OYAM RD",,LIRA MUNICIPALITY,LIRA,,,,
ALANYI HEALTH CENTRE III,UCMB,DHO,"NABWERU RD, BWAISE",,KAWEMPE,KAMPALA,,,,
ALCOMED SPECIALIST DIAGNOSTIC SERVICES,AKOL GEORGE YEPUSA,DR AKOL GEORGE YEPUSA,MAKERERE,,CENTRAL,KAMPALA,,,,
ALEMERE HEALTH CENTRE II,MEDICAL AID UGANDA,DR ODONGO ISAAC,"86/90,5TH STRT IND. AREA",,NAKAWA,KAMPALA,,,,
ALENGA HEALTH CENTRE III,UCMB,DHO APAC,,,,,ACONYOBO,ABAKO,AJURI,ALEBTONG
ALENGO COMMUNITY HEALTH CENTRE,TEREGO-ALENGO COMMUNITY,DR PARIO ALDO JUSTIN,"2, MUKIRANE STREET,KASESE",,MUNICIPALITY,KASESE,,,,
ALENGO MEDICAL AND MATERNITY CENTRE,MARACHA ACTION FOR DEVELOPMENT (MAFORD),DR APANGU PONTIOUS,,,,,AMOLATAR,MUNTU,,LIRA
ALERE GRADE III HEALTH CENTRE,AFRICA HUMANITARIAN ACTION,DR OMARA OWINO CHRIS,,,,,ALENGA,IBUJE,MARUZI,APAC
ALFA DENTAL CLINIC,MULEBEKE RONALD,DR MUHUMUZA SIMON PETER,,,,,POKEA PARISH,PAJULU,AYIVU,ARUA
ALFA MEDICAL CLINIC,DR MULEBEKE RONALD,DR MULEBEKE RONALD,,,,,ALENGO,PAJULU,ARUA,ARUA
AL-HIJIRA HEALTH CENTRE III,AL-HIJIRA FOUNDATION,DHO,,,,,ALERE,ADROPI,ADJUMANI,ADJUMANI
ALI MEDICAL SERVICES,BHOLIM MOHAMMED ASHRAF,DR BHOLIM MOHAMMED ASHARAF,NSAMBYA,,MAKINDYE,KAMPALA,,,,
ALIANA MEDICAL CENTRE,MUWANGUZI JOSEPH,DR KAJUBI ROBERT,,,,,SEETA,GOMA,,MUKONO
ALIGANYIRA MEDICAL CENTRE,ESTHER GANAAFA,DR MABUMBA ELLY DONALD,BUIKWE,,BUIKWE TOWN COUNCIL,BUIKWE,,,,
ALITO CHURCH OF UGANDA HEALTH CENTER II,DIOCESE OF LANGO,DR ALELE WILLIAM ERASMUS,"171, BLOCK 2, OLD KAMPALA",OLD KAMPALA,CENTRAL,KAMPALA,,,,
ALIVE MEDICAL SERVICES,PASQUINE N. OGUNSANYA AND ADEBIYI A.,DR PASQUINE N OGUNSANYA,,,,,BUKERERE ROAD,GOMA,JOGGO,MUKONO
ALIWANG MATERNITY CENTRE,UCMB,DHO OTUKE,,,,,,NABWERU,KYADONDO,WAKISO
ALIWARA GRADE II,AFRICA HUMANITARIAN ACTION,DR OMARA OWINO CHRIS,,,,,ALITO,ALITO,,KOLE
ALL SAINTS BUCHANAGANDI H/C III,BUCHANAGANDI SELF HELP PROJECT,DR WAKOOBA PETER,"5,UN RISE FIRST CLOSE",NAMUWONGO,MAKINDYE,KAMPALA,,,,
ALL SAINTS CLINIC,C.H.JJUNJU-LWANGA,DR JJUNJU-LUWAGA C.H.,,,,,ALIWANG,ADWARI,OTUKE,OTUKE
ALL SAINTS CLINIC,NAKAYIMA HARRIET HOPE,DR SEKWEYAMA PETER,,,,,ALIWARA,AFUA,ADJUMANI,ADJUMANI
ALL SAINTS KAGOMA HEALTH CENTRE III,ALL SAINTS HEALTH SERVICES,DR KITIMBO DAVID W,,,,,GOLI GOLI,KAGUMU,,KIBUKU
ALL SAINTS KAIRA-BUKOLWA H.C. II,ALL SAINTS HEALTH SERVICES,DR NABANGI CHARLES,KAMPALA-MASAKA RD,NYENDO,SENYANGE,MASAKA,,,,
ALL SAINTS KIBUNDAIRE H.C. II,ALL SAINTS HEALTH SERVICES,DR KITIMBO DAVID W,,,,,LUKULI,MAKINDYE,KYADDONDO,KAMPALA
ALL SAINTS MEDICAL CENTRE,KASULE SAMUEL,DR KASULE SAMUEL,,,,,KAGOMA,BUWENGE,KAGOMA,JINJA
ALL SAINTS NAKAGYO H.C II,ALL SAINTS HEALTH SERVICES,DR NABANGI CHARLES,,,,,BUKOLWA,BUWENGE,KAGOMA,JINJA
ALLAH IS GREAT CLINIC,KASOMA MEDINAH NAMAKULA,DR ANDAMA JOSEPH,,,,,KIBUNDAIRE,BUTAGAYA,KAGOMA,JINJA
ALLAN GALPIN HEALTH CENTRE II,UGANDA CHRISTIAN UNIVERSITY-MUKONO,DR MULINDWA RWABANGI GEOFFREY,LUWAFFU-BUKEJJE STAGE,,MAKINDYE,KAMPALA,,,,
ALLAN STONE COMMUNITY HEALTH CLINIC,SOFT POWER MUKAGWA ALLAN STONE COMM. HLT,DR KALUMUNA CHARLES,,,,,NAKAGYO,BUYENGO,KAGOMA,JINJA
ALLEN MEDICAL CENTRE,NAMUGGA JANE,DR NAMUGGA JANE,KIREKA ZONE B,KIIRA,WAKISO,WAKISO,,,,
ALLERGY AND MEDICAL CENTRE,ALLERGY AND MEDICAL CENTRE,DR AANYU HELLEN TUKAMUHEBWA,BUGUJU,KAWUGA,MUKONO MUNICIPALITY,MUKONO,,,,
ALLIANCE MEDICAL CENTRE,KAGGWA GODFREY,DR KIBALYECWA SAM,,,,,KYABIRWA,BUDONDO,KAGOMA,JINJA
ALLIED CLINIC,MUROKORA DANIEL,DR MUROKORA DANIEL,LWEZA,,MAKINDYE,KAMPALA,,,,
ALLIED FAMILY CLINIC,AMONE JACKSON,DR AMONE JACKSON,"163,MUTESA II RD NTINDA",,NAKAWA,KAMPALA,,,,
ALLIED HEALTH CARE CLINIC,KIBUUKA ROBERT,DR LULE HARUNA,,,,,KAZINGA,NANGABO,KYADONDO,WAKISO
ALLIED MEDICAL & PHYSIOTHERAPY,OKULLO JOEL,DR OKULLO JOEL,"5, KATWE BUTEGO",,KATWE-BUTEGO,MASAKA,,,,
ALLIED MEDICAL CLINIC,KIBUUKA ROBERT,DR LULE HARUNA,"1, NTINDA",NTINDA,NAKAWA,KAMPALA,,,,
ALLIED MEDICAL IMAGING CENTRE,AMIC,DR KISEMBO HARRIET NALUBEGA,NABWERU RD,,KAWEMPE,KAMPALA,,,,
ALLIED MEDICAL SERVICES SEETA,OGWAL SYDNEY & BARASA JULIUS,DR KASULE SAMUEL,"90,BEN KIWANUKA STRT",,CENTRAL,KAMPALA,,,,
ALLIED MEDICARE SERVICE,KISEGERWA ENOCK,DR KISEGERWA ENOCK,MUTUNGO,NAKAWA,NAKAWA,KAMPALA,,,,
ALMECA MEDICARE,KIBIRIGE PAUL,DR KIBIRIGE PAUL,"141, HAJI MUKASA KASULE RD",,KAWEMPE,KAMPALA,,,,
ALMOND MEDICAL CENTRE,KASANKA BETTY,DR KASANKA BETTY,SEETA TC,,SEETA,MUKONO,,,,
ALNOOR HEALTH CENTRE GRADE II,UGANDA MUSLIM MEDICAL BUREAU,DHO YUMBE,"5, ELGIN ROAD",,BUTEGO,MASAKA,,,,
ALOI HEALTH CENTRE III,UCMB,DHO,MAFUBIRA,,MAFUBIRA,JINJA,,,,
ALOKALOKA CLINIC,ARIKU PETER CHRICHTON,DR BALENGERA S GEOFFREY,NAMUGONGO,,KIIRA,WAKISO,,,,
ALPHA AND OMEGA MEDICAL CENTRE,KABENGE ANITA,DR WADDA ROBERT,,,,,LIMIDIA MIDIGO RD,KOCHI,ARINGA,YUMBE
ALPHA AND OMEGA MEDICAL CENTRE,KABENGE ANITA,DR WADDA ROBERT,,,,,ONGOM,AKURA,MOROTO,ALEBTONG
ALPHA CLINIC,EMUNYERET SAMUEL PATRICK,DR EMUNYERET SAMUEL PATRICK,"14B, MAIN STREET",ARARAK,TOWN COUNCIL,KABERAMAIDO,,,,
ALPHA CLINIC,SEBULIME AMISI,DR KANSIIME EDGAR K.,,,,,KAGOMA RD,MATUGA,,WAKISO
ALPHA CLINIC,TWIMUKYE MOSES,DR BESIGYE KABAHENA INNOCENT,SOWOTO ROAD,,MAKINDYE,KAMPALA,,,,
ALPHA DIAGNOSTIC CENTRE,ALIRU SHARON SERENA,DR KISAKYE DAVID,13TOWN COUNCIL,,TOWN COUNCIL,KATAKWI,,,,
ALPHA GENERAL CLINIC,AMITA JULIET ZULIA LUMONYA,DR NABAKOOZA JANE,,,,,KICHWAMBA T/C,NTARA,KITAGWENDA,KAMWENGE
ALPHA MEDICAL & DIAGNOSTIC MOBILE UNIT,ALPHA MEDICAL AND DIAGNOSTIC MOBILE UNIT,DR KITAKA SABRINA BAKEERA,"KASUBI,HOIMA RD",,RUBAGA,KAMPALA,,,,
ALPHA MEDICAL CENTRE,ALPHA MEDICAL CENTRE BANDA LIMITED,DR RUHWEZA JOHN,,,,,KAZO ANGOLA,KAWEMPE,KYADONDO,KAMPALA
ALPHA MEDICAL CENTRE,IMPHILO CLINICAL LIMITED,DR BAKEERA KITAKA SABRINA,KAYUNGA,,KAYUNGA,KAYUNGA,,,,
ALPHA MEDICAL CENTRE,MWANGWA FLORENCE,DR SSEMMONDO EMMANUEL,WAGABA LANE,KIREKA,KIRA,WAKISO,,,,
"ALPHA MEDICAL CENTRE, KANYANYA",IMPHILO CLINICAL LTD,DR BAKEERA KITAKA SABRINA,BANDA ZONE B-34,,NAKAWA,KAMPALA,,,,
ALPHA MEDICAL CLINIC,MWOGERA NICHOLAS,DR CHANDIA JOSEPH,"WAGABA LANE,ZONE A KIREKA",KIREKA,KIRA,WAKISO,,,,
ALPHA MEDICAL SPECIALISTS,OKEMA LOUIS,DR OKEMA LOUIS,BUSEMBATIA,,IGANGA TOWN COUNCIL,IGANGA,,,,
