UGANDA MEDICAL AND DENTAL PRACTITIONERS COUNCIL,,,,,,,,,,
REGISTERED UPMB HEALTH CENTRES AS OF 31/12/2016,,,,,,,,,,
,,,,,,,,,,
NAME,OWNER,SUPERVISOR,PLOT,WARD,DIVISION,DISTRICT,VILLAGE,SUB COUNTY,COUNTY,DISTRICT
EREPI HEALTH CENTRE II,UPMB,DR IDI FRANKLIN AMULI,MOYO,,MEZU,MOYO,,,,
GOLI HEALTH CENTRE III,UPMB,DHO,,,,,BOMA WEST,NEBBI,PADYERE,NEBBI
IBANDA MISSION HEALTH CENTRE II,UPMB,DHO,KAGONGO,KYARUHANGA,IBANDA TOWN COUNCIL,IBANDA,,,,
IKAMIRO C.O.U. HC II,UPMB,DHO KABALE,,,,,IKAMIRO,MUKO,RUBANDA,KABALE
J.O.Y. MEDICAL CENTRE,UPMB (DELIVERANCE CHURCH),DR OTHIENO EMMANUEL,"641, MASAKA RD",NDEEBA,RUBAGA,KAMPALA,,,,
JINJA KAROLI ST. CHARLES LWANGA HEALTH CENTRE II,UPMB,DHO,,,,,"JINJA,KAROLI",NABWERU,KYADONDO,WAKISO
JOY HOSPICE,UPMB,DR WHITE BERLY JANET,"18-28,NABUYONGA RISE",NORTHERN,MUNICIPALITY,MBALE,,,,
KABELYO HEALTH CENTRE II,UPMB,DR KENNETH CHEMUTAI,,,,,KABELYO,KAPRORON,KWEN,KAPCHORWA
KABUGA HEALTH CENTRE III,UPMB,DHO,,,,,KABUGA,KAMWENGE,KIBALE,KAMWENGE
KAGANDO HOSPITAL,UPMB,DR MUNYAGWA MARY,,,,,KAGANDO,KISINGA,BUKONZO EAST,KASESE
KAKOMA HEALTH CENTRE III,UPMB,DHO,,,,,KABEREBERE,BIRERE,ISINGIRO,ISINGIRO
KAKORO H/C II,UPMB (SDA),DR CHEMUTAI KENNETH,,,,,MAIZIMASA,KABWANGASI,BUTEBO,PALLISA
KANAPA ONGINO HEALTH UNIT II,UPMB,DR OPOLOT JOHN,,,,,KANAPA,ONGINO,KUMI,KUMI
KARAMOJA DIOCESE DEVELOPMENT OFFICE,UPMB,DR BIRARO SAMWIRI IRANEZEZA,,,,,KOTIDO,KOTIDO,,KOTIDO
KARANGARA C.O.U. HEALTH CENTRE II,UPMB,DHO,,,,,KARANGARA,KAYONZA,KINKIZI WEST,KANUNGU
KASUBI CHURCH OF GOD HEALTH CENTRE II,UPMB,DR BUWEMBO KAKANDE BADRU,KASUBI,KASUBI,RUBAGA,KAMPALA,,,,
KATAKWI C.O.U. CLINIC,UPMB,DR ONYIGE THOMAS ACQUINAS,,,,,KATAKWI,,KATAKWI,KATAKWI
KATERAMPUNGU HEALTH CENTRE II,UPMB,DR RUTAHIGWA E,,,,,KATERAMPUNGU,BUGANGARI,RUKUNGIRI,RUKUNGIRI
KATETA C/U HCII,UPMB,DR EKURE JOHN,,,,,KATETA,KATETA,KATETA,SOROTI
KATIKAMU SDA H/C II,UPMB (SDA),DR LUYIGA MARIAM,,,,,KATIKAMU,KATIKAMU,KATIKAMU,LUWERO
KATOVU HEALTH CENTRE,UPMB,DR KIIZA BANALEKAKI,,,,,KATOVU,MALONGO,BUKOTO WEST,MASAKA
KAZINGA HEALTH CENTRE II,UPMB,DHO KANUNGU,,,,,KAZINGA,KIHIIHI,KINKIIZI WEST,KANUNGU
KEI HEALTH CENTRE III,UPMB,DHO YUMBE,,,,,RODO,ARINGA,ARINGA,YUMBE
KIGOBE HC III,UPMB,DR BASAZA MARGARET,SENTEMA RD,,NORTH RUBAGA,KAMPALA,,,,
KIHANGA H/C III,UPMB,DHO KABALE,,,,,KIHANGA,RWAMUCUCU,RUKIGA,KABALE
KIHEMBE SUB-DISPENSARY,UPMB,DHO KANUNGU,,,,,KIHEMBE,KANYANTOROGO,KIHEMBE,KANUNGU
KIMWANYI HEALTH CENTRE,UPMB,DHO,,,,,LUTEETE,KINGO,BUKOTO SOUTH,LWENGO
KINYAMARI COU HEALTH CENTRE II,UPMB,DHO KABALE,,,,,KINYAMARI,BUTANDA,NDORWA,KABALE
KIRONGERO CHURCH OF GOD HC III,UPMB,DR NAMBOZO SARAH,,,,,KIRONGERO,KAPYANGA,BUKOOTI NORTH,BUGIRI
KISAASI MATERNITY CLINIC,UPMB,DR MUHUMUZA SIMON,KISAASI,,KAWEMPE,KAMPALA,,,,
KITOJO HEALTH CENTRE II,UPMB,DR MUGWANYA EDWARD,,,,,KITOJO,BUYANJA,,RUKUNGIRI
KITOKOLO HEALTH CENTRE II,"UPMB,HOPE FOR THE NEEDY",DR MUBIRU WILSON (DDHO MUBENDE),,,,,BUKUYA,BUKUYA,,MUBENDE
KIWOKO HOSPITAL,UPMB,DR WILSON RORY HUGH,,,,,KIWOKO,KIKAMULO,NAKASEKE,NAKASEKE
KONGE HEALTH CENTRE III,UPMB,DHO,,,,,KONGE,BUMOOZI,MAWOKOTA NORTH,MPIGI
KONGTA HC II,UPMB,DR CHEMUTAI KENNETH,,,,,KONGTA,BENET,KWEN,KAPCHORWA
KULUVA C.O.U HOSPITAL,UPMB,DR ATIKU ALEX,,,,,KULUVA,VURRA,VURRA,ARUA
KUMI HOSPITAL,UPMB,DR NTEGE TWAHA,,,,,KACABOI,ONGINO,KUMI,KUMI
KYABENDA C.O.U HEALTH CENTRE,UPMB,DHO,,,,,LYAMUGONERA,KAHUNGE,KAMWENGE,KAMWENGE
KYANNAMUGERA HEALTH CENTRE II,UPMB,DHO,NALUTUNTU,,MUBENDE,MUBENDE,,,,
KYATO HEALTH CENTRE II,UPMB,DHO,KITUMBI,,KITUMBI,MUBENDE,,,,
KYENYI C.O.U H/C II,UPMB,DHO KABALE,,,,,KYENYI,MUKO,RUBANDA,KABALE
KYESHERO HEALTH CENTRE 11,UPMB,DHO,,,,,KYESHERO,KAYONZA,KINKIIZI,KANUNGU
LOTIM HEALTH CENTRE II,UPMB,DR BIRARO SAMWIRI IRANEZEZA,,,,,KALAPATA,NAPALABUR,,KOTIDO
MAGALE ST. ELIZABETH H/C IV,UPMB,DHO,,,,,BUWESA,MAGALE,BUBULO,MANAFWA
MAKONGE COMMUNITY HEALTH CENTRE III - MUKO,UPMB,DHO,,,,,KIYINDI,NAJJA,BUIKWE,MUKONO
MAKONZI HEALTH CENTRE II,UPMB,DHO,KASSANDA,,MUBENDE,MUBENDE,,,,
MANTOROBA HEALTH CENTRE II,UPMB,DR SSESANGA STEPHEN KADDU,,,,,MANTOROBA,NTORORO,BUGHENDERA,BUNDIBUGYO
MANTOROBA HEALTH UNIT,UPMB,DR SSESANGA KADDU STEPHEN,,,,,BUNDIBUGYO,,KASITU,BUNDIBUGYO
MARY IMMACULATE PAJULE HEALTH CENTRE II,UPMB,DHO,,,,,PAJULE,OGOLI,LAPUL,PADER
MASYA C.O.U. HC II,UPMB,DR BAGUMA JOSEPH,,,,,MASYA,NYAKAGYEME,,RUKUNGIRI
MIRIA CLINIC D.M.U.,UPMB,DR EKURE JOHN,,,,,OSUGURO,OLIO,SERERE,SOROTI
MUGULI HEALTH CENTRE II,UPMB,DHO KABALE,,,,,MUGIRI,RUBAYA,NDORWA WEST,KABALE
MUHANGA C.O.U. H/C II,UPMB,DHO KABALE,,,,,MUHANGA,BUKINDA,RUKIGA,KABALE
MUKO C.O.U. PARISH HEALTH UNIT,UPMB,DHO,,,,,BUTARE,MUKO,RUBANDA WEST,KABALE
MUKOKYE HC II,UPMB,DHO KABALE,,,,,MUKOKYE,MAZIBA,NDORWA WEST,KABALE
NAMUTAMBA HEALTH CENTRE III,UPMB,DHO MITYANA,,,,,NAMUTAMBA,BULERA,MITYANA,MITYANA
NAMUYENJE HEALTH CENTRE,UPMB,DR ZAWEDDE STELLA,,,,,NAMUYENJE,NAKISUNGA,MUKONO,MUKONO
NAWANYAGO D.M.U.,UPMB,DDHS,,,,,,,IRONGO,IGANGA
NYABIREREMA HC II,UPMB,DHO KABALE,,,,,KAYORERO,BUKINDA,RUKIGA,KABALE
NYAKARAMBI C.O.U. H/C II,UPMB,DHO KABALE,,,,,NYAKARAMBI,RWAMUCUCU,RUKIGA NORTH,KABALE
NYAKAZINGA H/C II,UPMB,DR. MUGWANYA EDWARD,KEBISONI,,RUBABO,RUKUNGIRI,,,,
NYAPEA H/C III,UPMB,DR ANZUBO PAUL,,,,,PAIDHA,NYAPEA,,NEBBI
NYARIEGI H/C II,UPMB,DHO,,,,,NYARIEGI,PANYANGO,JONAM,NEBBI
NYARUHANGA HC II,UPMB,DHO,,,,,NYARUHANGA,IKUMBA,RUBANDA WEST,KABALE
OBERABIC HEALTH CENTRE,UPMB,DHO,,,,,ACWERA,AMURU,,AMURU
OTUBOI C.O.U. HEALTH CENTRE II,UPMB,DR MPAIRWE ALLAN,,,,,OTUBOI,OTUBOI,,KABERAMAIDO
PADWOT-MIDYERE HEALTH CENTRE III,UPMB,DHO,,,,,MAMBA BOMA,KUCWINY,PADYERE,NEBBI
PAILA HEALTH CENTRE II,UPMB,DR JAKO ORYEM,,,,,PAILA,PANYANGO,JONAM,NEBBI
RUBAYA C.O.U.H/C II,UPMB,DHO KABALE,,,,,BWENKORONGO,BUTANDA,NDORWE WEST,KABALE
RUGARAMA HOSPITAL,UPMB,DR ARINAITWE GILBERT MATEEKA,RUGARAMA HILL,LOWER RUGONGI,NORTH,KABALE,,,,
RUHARO MISSION HOSPITAL,UPMB,DHO,FORT PORTAL RD,RUHARO,KAMUKUZI,MBARARA,,,,
RUHIJA C.O.U. HEALTH CENTRE II,UPMB,DHO KABALE,,,,,RUHIJA,MUKO,RUBANDA,KABALE
RUSHAKA C.O.U.H/C II,UPMB,DHO KANUNGU,,,,,RUSHAKA,NYAMIRAMA,KINKIIZI WEST,KANUNGU
RUTAKA HEALTH CENTRE III,UPMB,DHO,,,,,GACACA,KIRUNDO,BUFUMBIRA,KISORO
RWABUKOBA C.O.U. HEALTH CENTRE II,UPMB,DR BAGUMA JOSEPH,,,,,RWABUKOBA,RUHINDA,RUHINDA,RUKUNGIRI
RWAKIGAJU H/C II,UPMB,DHO RUKUNGIRI,,,,,RWAKIGAJU,BUGANGARI,RUKUNGIRI,RUKUNGIRI
RWERERE C.O.U. HEALTH UNIT,UPMB,DR ELIAS RUTAHIGWA,,,,,RWERERE,NYAKAGYEME,,RUKUNGIRI
ST. ANDREW NOMBE HEALTH CENTRE II,UPMB,DR TWINOMUGISHA B. STEPHEN,,,,,NCUNE,KASHARE,,MBARARA
ST. ANTHONY MITALA MARIA H/C III,UPMB,DHO MPIGI,,,,,MITALA MARIA,BUWAMA,MPIGI,MPIGI
ST. ANTHONY'S HOSPITAL TORORO,UPMB,DR KOMAGUM PATRICK,"AMAGORO B, JINJA ROAD",,MUNICIPALITY,TORORO,,,,
ST. APOLLO HEALTH CENTRE,UPMB,DHO WAKISO,"45,UPPER KIKAJO RD",NAMASUBA,MAKINDYE,KAMPALA,,,,
ST. JOSEPH'S RUBINDI H/C III,UPMB,DHO,,,,,KARUHAMA,RUBINDI,KASHARI,MBARARA
ST. LUKE KATIYI HEALTH CENTRE III,UPMB,DHO,,,,,ARUA,ULEPPI,,ARUA
ST. LUKE KAZO MEDICAL/DIAGNOSTIC CENTRE,UPMB,DR MUHUMUZA HERBERT,,,,,KAZO MUGANZIRWAZA,NABWERU,,WAKISO
ST. LUKE KISYORO HEALTH UNIT,UPMB,DR KAGURUSI PATRICK,,,,,KISYORO II,KABUYANDA,,MBARARA
ST. LUKE RUBINGO COMMUNITY H/C II,UPMB,DR TWINOMUGISHA B. STEPHEN,,,,,"46,",BUGAMBA,,MBARARA
ST. LUKE'S DISPENSARY KATIYI,UPMB,DR KERCHAN PATRICK,,,,,ULEPPI,KATIYI,,ARUA
ST. MARK MABANGA H/C II,UPMB,DR. MUGWANYA EDWARD,,,,,KEBISONI,RUBABO,,RUKUNGIRI
ST. STEPHEN'S DISPENSARY & MATERNITY III,UPMB,DR NAKIBUULE CATHERINE,"44/46,COMMERCIAL RD",,NAKAWA,KAMPALA,,,,
"ST. STEPHEN'S HOSPITAL, MPERERWE",UPMB,DR NAKIBUULE CATHERINE,,,,,SEKANYONYI,KAWEMPE,MPERERWE,KAMPALA
ST. STEPHEN'S MPERERWE HLTH UNIT,UPMB,DR LUBOWA SAM,,,,,MPERERWE,KAWEMPE,KAMPALA,KAMPALA
THORNBURY-BUFUMBO HC,UPMB,DHO,,,,,JEWA,BUFUMBO,BUNGOKHO,MBALE
UPMB OPTICAL UNIT,UPMB,DR KERCHAN PATRICK,"877, BALINTUMA RD",,RUBAGA,KAMPALA,,,,
WELL SPRING CHILDREN'S MEDICAL CENTRE KAMUTUZA,UPMB,DHO KALUNGU,,,,,KAMUTUZA,BULULUDO,KALUNGU EAST,KALUNGU
WII ANAKA HEALTH CENTRE II,UPMB,DHO,,,,,JUBA ROAD,PURONGO,,NWOYA
YAN,UPMB,DR MUSIITWA MICHAEL MUGWANYA,,,,,NABWENDO,,MUWANGA,KIBOGA
ZUMBO HEALTH CENTRE III,UPMB,DHO,,,,,RIKU,NYAPEA,OKORO,NEBBI
