UGANDA MEDICAL AND DENTAL PRACTITIONERS COUNCIL,,,,,,,,,,,,,,,,,,,,,,
OPERATING LICENCE REGISTER AS OF 31/12/2016,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reg No.,Name,Owner ,Supervisor ,Plot,Ward,Division,District,Village,Sub County,County,District,Category Of Health Unit ,Health Unit Status,Number of Beds,Laboratory Services,X-ray Services,Radiotherapy Services,Ambulance Services,Other Services,Receipt No.,Serial No.,OL 2016
HUA0026,ABISON  MEDICAL CLINIC,"TWINOMUGISHA ABIAS,KYARISIIMA WILSON",DR TURYHIKAYO JACK,,,,,SEGUKU TRADING CENTRE,MAKINDYE,KYADONDO,WAKISO,Medical,Out Patient and In Patient ,4,Yes,No,No,No,,21987,679,01/04/16
HUA0028,ABOKE MISSION HEALTH CENTRE II,UCMB,DHO,,,,,ABONGODERO,ABOKE,,KOLE,Medical,Out Patient ,9,Yes,No,No,Yes,,19830,379,20/03/16
HUA0248,ACCESS DENTAL CARE,KALYESUBULA ALLAN EDWARD BOSA,DR KALYESUBULA ALLAN EDWARD,"128,OLD KIRA  ROAD",,NAKAWA,KAMPALA,,,,,Dental ,Out Patient ,,No,Yes,No,No,,19508,321,10/03/16
HUA0257,ADJUMANI MISSION HEALTH CENTRE III,ARUA DIOCESE,DHO,,,,,CESI,ADJUMANI TOWN COUNCIL,,ADJUMANI,Medical,Out Patient and In Patient ,24,Yes,No,No,No,,24597,770,11/04/16
HUA0042,ADUKU HEALTH CENTRE II,UCMB,DHO,,,,,OLAMI A,KWANIA,ADUKU,APAC,Medical,Out Patient and In Patient ,23,Yes,No,No,No,,19833,382,20/03/16
HUA0047,AFAAYO CHILD HEALTH & REHABILITATION CENTRE,ACHERU,DR OKELLO JUSTIN,,,,,KABEMBE,KYAMPISI,,MUKONO,7,Out Patient and In Patient ,37,No,No,No,Yes,"PHYSIO,REHAB HU",19668,365,10/03/16
HUA0049,AFIA MEDICAL CLINIC,LOTOR MUHAMMAD RAJAB,DR LOTOR MUHAMMAD RAJAB,"102-BLOCK 1026, LUWEERO",,TOWN COUNCIL,LUWERO,,,,,Medical and Dental ,Out Patient and In Patient ,2,No,No,No,No,,24248,965,25/04/16
HUA0054,AFYA CLINIC,BAGANIZI MICHEAL,DR BAGANIZI MICHEAL,,,,,RUSIZA,KISORO TC,BUFUMBIRA,KISORO,Medical,In Patient ,15,Yes,No,No,No,,21887,,01/04/16
HUA0055,AFYA MEDICAL AND DIAGNOSTIC CENTRE,KALIMBA MATHIAS,DR BASAZA ROBERT KANYARUTOKYE,"3, MARGHERITA RD",,TOWN COUNCIL,KASESE,,,,,Maternity,Out Patient and In Patient ,20,Yes,Yes,Yes,Yes,MATERNITY,18740,92,25/01/16
HUA0056,AFYA NJEMA DIAGNOSTIC MEDICAL CENTRE,BUKWIRWA HENRY WILLIAM,DR BUKWIRWA HENRY WILLIAM,,,,,KIHIHI,KIHIHI,,KANUNGU,Medical and Dental ,Out Patient and In Patient ,5,Yes,No,No,No,"FP,IMMUNIZATION",24129,,26/04/16
HUA0237,AGAKHAN HEALTH SERVICES ACACIA MEDICAL CENTRE,AMAAN KHALFAN/ OSIRO MARTHA,DR ETUKET ANDREW,"8A-12A,COOPER ROAD",,CENTRAL,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,Yes,No,No,,25505,1463,24/05/16
HUA0238,AGAKHAN HEALTH SERVICES BUGOLOBI MEDICAL CENTRE,AMAAN KHALFAN/ OSIRO MARTHA,DR TUSIIME SUSAN,"20-24,BUGOLOBI",,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,,25398,1421,25/05/16
HUA0222,AGAPE MEDICAL CENTRE,ROCK CHURCH MINISTRIES,DR MULAMIRA PIUS,KASANGATI,,NANGABO,WAKISO,,,,,Medical,Out Patient and In Patient ,8,Yes,Yes,No,No,FP,20866,1739,14/07/16
HUA0066,AGETERAINE NURSING HOME,BYABANYAGI SANYU WILSON,DR BYABAMYAGI SANYU W,"7,MALIBO RD",BAZAAR,SOUTH,KABAROLE,,,,,Medical,Out Patient and In Patient ,9,Yes,Yes,No,No,"FP,MATERNITY,ANC",18761,93,03/02/16
HUA0241,AGGIE CLINIC,"NAKAGGWA STELLA M., SEBAGGALA EDWARD",DR SEBAGGALA EDWARD,MAKINDYE,,MAKINDYE,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,"FP,IMMUNIZATION",21935,692,14/04/16
HUA0070,AHABWE HEALTH CLINIC,MBYEMEIRE P.B.,DR MBYEMEIRE B P,"37C, OLD MBARARA PARK",PARK,,NTUNGAMO,,,,,Medical,Out Patient ,,Yes,No,No,No,,21436,745,22/03/16
HUA0071,AHMADIYYA MUSLIM MEDICAL CENTRE,AHMADIYA MUSLIM ASSOCIATION,DR MUBASHIR NADEEM,"46/52, KUMI RD",,NORTHERN,MBALE,,,,,Medical,Out Patient and In Patient ,32,Yes,Yes,No,No,ECG,18734,69,25/01/16
HUA0235,AIRPORT MEDICAL CENTRE,EYUL JAMES,DR EYUL JAMES,ENTEBBE AIRPORT ARRIVALS,,ENTEBBE,WAKISO,,,,,Medical,Out Patient ,,Yes,No,No,Yes,,18717,63,25/01/16
HUA0078,AKIA ST. FRANCIS HEALTH CENTRE II,UCMB,DHO LIRA,,,,,ABONYO-OTINGERE,ADEKOKWOK,ERUTE SOUTH,LIRA,Medical and Dental ,Out Patient ,28,Yes,No,No,No,,19831,380,20/03/16
HUA0079,AKISYON A YESU PRESBYTERIAN CLINIC,ORTHODOX PRESBYTERIAN CHURCH,DHO,,,,,NAAKALE,NAMALU,NAPERENYA,NAKAPIRIPIRIT,Medical and Dental ,Out Patient ,,Yes,No,No,Yes,EMERGENCY CASES,18190,14,07/01/16
HUA0085,ALAM MEDICAL CENTER,ALAM MEDICAL CENTER,DR OPIYO KIMTON,"86/90,5TH STRT IND. AREA",,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,2,Yes,No,No,No,,20713,1880,19/08/16
HUA0086,ALANYI HEALTH CENTRE III,UCMB,DHO,,,,,ACONYOBO,ABAKO,AJURI,ALEBTONG,Medical,Out Patient and In Patient ,20,Yes,No,No,No,,19828,375,20/03/16
HUA0098,ALIWANG MATERNITY CENTRE,UCMB,DHO OTUKE,,,,,ALIWANG,ADWARI,OTUKE,OTUKE,Medical,Out Patient and In Patient ,36,Yes,No,No,Yes,ART,19836,385,20/03/16
HUA0101,ALL SAINTS CLINIC,C.H.JJUNJU-LWANGA,DR JJUNJU-LUWAGA C.H.,KAMPALA-MASAKA RD,NYENDO,SENYANGE,MASAKA,,,,,Medical,Out Patient ,,Yes,No,No,No,,21019,449,10/03/16
HUA0246,ALMOND MEDICAL CENTRE,KASANKA BETTY,DR KASANKA BETTY,NAMUGONGO,,KIIRA,WAKISO,,,,,Medical,Out Patient ,,Yes,No,No,No,"FP,IMMUNIZATION",18973,126,04/02/16
HUA0120,ALOI HEALTH CENTRE III,UCMB,DHO,,,,,ONGOM,AKURA,MOROTO,ALEBTONG,Medical,Out Patient and In Patient ,11,Yes,Yes,No,No,HIV AIDS,19829,378,20/03/16
HUA0138,AMUCA SDA HEALTH CENTRE III,UPMB (SDA),DHO LIRA,,,,,OLAKA,LIRA,ERUTE,LIRA,Medical and Dental ,Out Patient and In Patient ,20,Yes,No,No,Yes,"ANC, MATERNITY",25079,933,15/04/16
HUA0139,AMUCU HEALTH CENTRE III,UCMB,DHO,,,,,AMUCU,APEDURU,,AMURIA,Medical,Out Patient and In Patient ,17,Yes,No,No,No,,22218,1632,27/06/16
HUA0151,ANGAL ST. LUKE HOSPITAL,UCMB,DHO,,,,,ALUKA,NYARAVUR,PADYERE,NEBBI,Hospital ,Out Patient and In Patient ,260,Yes,Yes,No,Yes,THEATRE,21298,539,15/03/16
HUA0157,ANGELS OF HOPE CLINIC,ANGELS OF HOPE INC.,DR MAMBULE KIGGUNDU IVAN,,,,,MATUGGA,GOMBE,KASANGATI,WAKISO,Medical,Out Patient ,2,No,No,No,No,,19454,297,07/01/16
HUA0159,ANKOLE ESTATE  CLINIC H.C. II,ANKOLE TEA ESTATE,DR IDIPO DANIEL,,,,,MASHONGA,KYAMUHUNGA,IGARA WEST,BUSHENYI,Medical,Out Patient and In Patient ,15,Yes,No,No,No,MATERNITY,19220,225,24/02/16
HUA0225,ANNAMARIA CHILDREN'S MEDICAL CENTRE,MULANGWE INVESTMENTS AND KIGONYA PAUL,DR KIGONYA PAUL,"1080,SSEGUKU",,SSEGUKU TRADING CENTRE,WAKISO,,,,,Medical,Out Patient and In Patient ,4,Yes,No,No,No,"FP,IMMUNIZATION,ADOLES",18657,52,25/01/16
HUA0162,ANOINTED LIGHT MEDICAL SERVICES,ANOINTED LIGHT MEDICAL SERVICES (ALMS),DR MAKUMBI TIMOTHY,"84/85,BOMBO RD",WANDEGEYA,KAWEMPE,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,"FP,IMMUNIZATION",21374,563,22/03/16
HUA0164,ANYAVU HEALTH CENTRE II,UPMB,DHO,,,,,ARUA,LOGIRI,,ARUA,Medical,Out Patient and In Patient ,4,Yes,No,No,No,FP,19635,3443,03/03/16
HUA0165,ANYIRIBU HEALTH CENTRE III,UPMB,DHO ARUA,,,,,PEERA,ANYIRIBU,MADI,ARUA,Medical,Out Patient and In Patient ,4,Yes,No,No,No,"FP,IMMUNIZATION",20283,1719,10/07/16
HUA0037,ARCHIBISHOP KIWANUKA MAYIRYE HEALTH CENTRE III,UCMB,DHO,,,,,MAYIRYE,KAKINDU,BUSUJJU,MITYANA,Medical,Out Patient and In Patient ,12,Yes,No,No,Yes,,25368,1326,21/06/16
HUA0179,AROCHA CLINIC CENTER AND LAB.SERVICES,ANOKBONGO W.W.,PROF ANAKBONGO W W,,,,,AROCHA,ADUKU,KWANIA,APAC,Medical,Out Patient ,,Yes,No,No,No,,24158,910,04/04/16
HUA0187,ARUA MEDICAL AND RADIOLOGY CENTRE,DEBO RONALD,DR ANIKU GILBERT,"5,MARKET LANE",BAZAAR,ARUA HILL DIVISION,ARUA,,,,,Medical and Dental ,Out Patient and In Patient ,10,Yes,Yes,No,Yes,FP,19473,3012,01/03/16
HUA0194,ASIIKA OBULAMU MEDICAL CENTRE III,KINONI MUSLIM COMMUNITY,DHO-LWENGO,,,,,KINONI,KINGO,BUKOTO SOUTH,LWENGO,Medical and Dental ,Out Patient and In Patient ,,Yes,No,No,No,EPI,18165,7,07/01/16
HUA0197,ATOM MEDICAL CENTRE LIMITED,ATOM COMMUNITY BASED ORGANISATION,DHO,,,,,SEGUKU,MAKINDYE,MAKINDYE-SABAGABO,WAKISO,Medical and Dental ,Out Patient ,,Yes,No,No,Yes,MATERNITY,25260,1364,25/05/16
HUA0207,AYIRA HEALTH SERVICES,OPIO PATRICK ANDREW,DR OPIO PATRICK ANDREW,LIRA,OMITO,ADYEL,LIRA,,,,,Medical,Out Patient and In Patient ,50,Yes,Yes,No,No,EPI & MATERNITY,24448,850,04/04/16
HUB0015,BAI HEALTH & MEDICAL INTERNATIONAL CENTR,RUKHSHANI KARMALI,DR KIGONYA PAUL,"1/3/5, RASHID KHAMIS RD",,CENTRAL,KAMPALA,,,,,Hospital ,Out Patient and In Patient ,10,Yes,Yes,Yes,Yes,"IMMUN,MATERNITY,HIV/TB",18623,51,15/01/16
HUB0291,BASK MEDICAL CENTRE,BAJJANIBERA K. SIMON,DR OKIROR PAUL OLOL,KITIMBWA,,KITIMBWA,KAYUNGA,,,,,Medical,Out Patient ,2,Yes,No,No,No,,22113,1578,14/06/16
HUB0047,BEACON MEDICAL CENTRE,PILGRIM UGANDA,DR KHINGI AVUA BEN HESED,"95B, OLD MBALE ROAD",PAMBA,,SOROTI,,,,,Medical,Out Patient and In Patient ,7,Yes,No,No,No,"VCT,TRAUMA COUNSELLING",24481,755,01/04/16
HUB0049,BEATRICE TIERNEY HEALTH CENTRE,ARLINGTON ACADEMY OF HOPE,DR WAMASEBU GIDEON S.,,,,,BUTINDUYI,BUPOTO,BUBULO EAST,MANAFWA,Medical,Out Patient ,2,Yes,No,No,No,MATERNITY,18779,87,01/02/16
HUB0062,BECAS CLINIC,LUKOMA MICHEAL,DR LUKOMA MICHEAL,KAZO,,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,3,Yes,No,No,No,,25568,1496,10/05/16
HUB0056,BENEDICT MEDICAL CENTER,TRUSTEES OF KAMPALA ARCHIDIOCESE,DHO,LUZIRA,,NAKAWA,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,67,Yes,Yes,Yes,Yes,,24870,1092,15/04/16
HUB0058,"BENEDICTINE EYE HOSPITAL, TORORO",BENEDICTINE MONASTERY,DR ARACH PROSCOVIA,"M44, KWAPA RD",,MUNICIPALITY,TORORO,,,,,Hospital ,Out Patient and In Patient ,50,Yes,Yes,No,Yes,CBR,18254,135,04/02/16
HUB0059,BENGRET MEDCARE CENTRE,SERUNJOGI MARGARET,DR AJOK FLORENCE,,,,,MATUGGA,GOMBE,KYADONDO,WAKISO,Medical and Dental ,Out Patient ,,Yes,No,Yes,No,IMMUNIZATION,24030,1227,19/05/16
HUB0275,BETHEL MEDICAL CONSULTS,KALEMA NELSON,DR KALEMA NELSON,KANYANYA,,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,FP,24362,1008,11/04/16
HUB0277,BETHESDA HOSPITAL SOROTI LTD,"EMUKU JUVENTINE, AKURUT ELIZABETH EMUKU",DR EMUKU JUVENTINE,SOROTI,,SOROTI T/C,SOROTI,,,,,Hospital ,Out Patient and In Patient ,24,Yes,Yes,No,Yes,"FP,MATERNITY",18781,88,01/02/16
HUB0079,BETTER LIFE CLINIC,KAGGWA ROBINAH,DR MWAYAFU DANIEL,KYEBANDO,NSOOBA,KAWEMPE,KAMPALA,,,,,Medical,Out Patient ,2,Yes,No,No,No,,25295,1492,24/05/16
HUB0082,BIKIIRA HEALTH CENTRE III,UCMB,DHO,,,,,KIGENYA,KASAALI,KYOTERA,RAKAI,Maternity,Out Patient and In Patient ,76,Yes,No,No,Yes,"CBO,FP,TBA,AID POST",24800,1072,15/04/16
HUB0084,BIOREX MEDICAL SERVICES,KOBUSINGYE EDITH,DR EDRAKO IMMACULATE,"KABALAGA,MUYENGA RD.KIBULI",,MAKINDYE,KAMPALA,,,,,Medical,Out Patient ,3,Yes,No,No,No,FP,18590,177,12/02/16
HUB0300,BISHOP BAMUNOBA M.U DISPENSARY-KITUNGA,BISHOP BAMUNOBA M.U DISPENSARY,DHO,RWASHAMAIRE TOWN COUNCIL,,RWASHAMAIRE TOWN COUNCIL,NTUNGAMO,,,,,Medical,Out Patient and In Patient ,12,Yes,No,No,No,FP,18502,153,12/02/16
HUB0088,BISHOP MASEREKA MEDICAL CENTRE,BISHOP MASEREKA CHRISTIAN FOUNDATION,DR BASEKA YUSUF,"1-5,STANLEY STREET",,TOWN COUNCIL,KASESE,,,,,Medical,Out Patient and In Patient ,17,Yes,Yes,No,Yes,"MATERNITY,THEATRE",24468,738,01/04/16
HUB0098,BLUESKY MEDICAL CLINIC,KATENDE JACKSON,DR KATENDE JACKSON,KAWAALA ZONE III,,LUBAGA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,21758,640,22/03/16
HUB0103,BORN MEDICAL CENTRE,KIZZA ISAIAH,DR KIZZA ISIAH,,,,,KALIRO A,LYANTONDE,KOOKI,LYANTONDE,Nursing Home,Out Patient and In Patient ,10,Yes,Yes,No,No,,19979,253,22/02/16
HUB0252,BS MEDICAL CENTRE,BYAMUKAMA SAM,MUGARURA ROBERT,MENGO,RUBAGA,KAMPALA,KAMPALA,,,,,Medical,Out Patient ,,Yes,No,No,No,FP,20248,620,05/04/16
HUB0115,BUBANGIZI MISSION HEALTH CENTRE III,UCMB,DHO,,,,,BUBANGIZI,KASHENSHERO,RUHINDA,MITOOMA,Medical and Dental ,Out Patient and In Patient ,58,Yes,No,No,Yes,EYE CLINIC,24778,796,26/04/16
HUB0245,BUBANGO HEALTH CENTRE II,EMESCO DEVELOPMENT FOUNDATION,DHO,,,,,BUBANGO,,,KIBAALE,Medical,Out Patient and In Patient ,6,Yes,Yes,No,No,"FP,IMMUNIZATION,MATERN",22021,1584,14/06/16
HUB0018,BUDADIRI KALAWA HEALTH CENTRE II,UCMB,DHO,,,,,BUNYODE B,BUSALANI,KALAWA,SIRONKO,Medical,Out Patient and In Patient ,25,Yes,No,No,No,"ANC,IMMUNIZATION",24572,715,26/04/16
HUB0122,BUDDUKIRO CLINIC,BOROA L. A.,DR BOROA L A,,,,,KIZUNGU,NJERU WEST,NJERU,BUIKWE,Medical,Out Patient ,,No,No,No,No,,22369,1900,29/08/16
HUB0249,BUGIRI MEDICAL SERVICES,NAKENDO ABUBAKIRI,DR NAKENDO ABUBAKIRI,MUKUBA VILLAGE,,BUGIRI,BUGIRI,,,,,Medical and Dental ,Out Patient and In Patient ,20,Yes,Yes,No,No,"FP,IMMUNIZATION,PHYSIO",18271,138,02/02/16
HUB0131,BUGOLOBI MEDICAL CENTRE,KAWANGUZI PETER F,DR KAWANGUZI PETER F,"134, SPRING RD",BUGOLOBI,NAKAWA,KAMPALA,,,,,Medical and Dental ,In Patient ,22,Yes,Yes,Yes,Yes,"ECG,PHYSIOTHERAPY",20278,1725,10/07/16
HUB0133,BUHARA HEALTH CENTRE,UCMB,DHO,,,,,NYABIREMA,BUKINDA,RUKIGA SOUTH,KABALE,Medical,Out Patient and In Patient ,6,Yes,No,No,Yes,,19846,395,20/03/16
HUB0144,BUKEDEA MISSION DISPENSARY,UCMB,DHO,,,,,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,Medical,Out Patient and In Patient ,15,Yes,No,No,No,,22221,1635,27/06/16
HUB0252,BUKIRIRO CLINIC,TWEKWASE ALEX,DR KAKAME KEITH TWIRIRE,BUYANJA,,RUKUNGIRI TRADING CENTRE,RUKUNGIRI,,,,,Medical,Out Patient and In Patient ,4,Yes,No,No,No,,18914,137,08/02/16
HUB0146,BUKOMANSIMBI MEDICAL CENTRE,"SSENKUNGU AUGUSTINE,MUTAAWE",DHO BUKOMANSIMBI,,,,,BUKOMANSIMBI,,BUKOMANSIMBI,BUKOMANSIMBI,Medical,Out Patient ,,Yes,No,No,No,,18567,173,22/02/16
HUB0152,BUKUUMI HEALTH CENTRE II,UCMB,DHO,,,,,BUKUUMI,BWANSWA,BUGANGAIZI,KIBAALE,Medical,Out Patient and In Patient ,7,Yes,No,No,No,,22214,1629,27/06/16
HUB0165,BULAMU MEDICAL CLINIC,KABUGO BLASIO/NAKITTO FRANK,DR KABUGO BLASIO,"18, EDWARD AVENUE",,KATWE BUTEGO,MASAKA,,,,,Medical and Dental ,Out Patient and In Patient ,8,Yes,Yes,No,No,PHYSIOTHERAPY,21271,524,15/03/16
HUB0177,BUNAWONA CLINIC,MUJABI PORTER VINCENT,DR MUJABI PORTER VINCENT,"7A, NIZAM ROAD",,CENTRAL,JINJA,,,,,Medical,Out Patient and In Patient ,4,Yes,No,No,No,,22075,1556,13/06/16
HUB0180,BUNAWOONA MEDICAL CENTRE,KALULU RICHARD,DR MUKASA KIVUNIKE PETER,NAKULABYE,,KAWEMPE,KAMPALA,,,,,Medical and Dental ,Out Patient ,,Yes,No,No,No,,25520,1469,24/05/16
HUB0184,BUROMBE CBO HEALTH CENTRE III,BUROMBE COMMUNITY DEVELOPMENT PROJECT,DHO RUKUNGIRI,,,,,RWENSHAKA,RUHINDA,RUJUMBURA,RUKUNGIRI,Medical,Out Patient and In Patient ,20,Yes,No,No,No,MATERNITY,22360,1894,29/08/16
HUB0290,BUSEESA MEDICAL CENTER,LUBEGA RICHARD,DHO,KARUGUUZA,,MATALE,KIBAALE,,,,,Medical and Dental ,Out Patient and In Patient ,6,Yes,No,No,No,FP,18556,168,22/02/16
HUB0200,BUSINGYE CLINIC,BUSINGYE WARUGABA AMOS,DR BUSINGYE WARUGABA AMOS,,,,,RWENGIRI,IBANDA,IBANDA,IBANDA,Medical,Out Patient and In Patient ,10,Yes,Yes,No,No,,19924,251,22/02/16
HUB0207,BUTENDE HEALTH CENTRE III,UCMB,DHO,,,,,BUTENDE,MUKUNGWE,BUKOTO EAST,MASAKA,Maternity,Out Patient and In Patient ,14,Yes,No,No,Yes,,24798,1070,15/04/16
HUB0298,BUTENGA HEALTH CARE CENTRE,NTEGE FRED,DR NTEGE FRED,BUTENGA,,BUTENGA,MASAKA,,,,,Medical,Out Patient and In Patient ,3,Yes,No,No,No,,19941,221,23/02/16
HUB0210,BUTIRU HOLY FAMILY HEALTH CENTRE,UCMB,DHO,,,,,BUMATANDA,BUTIRU,BUBULO,MANAFWA,Medical,Out Patient and In Patient ,17,Yes,No,No,No,IMMUNIZATION,24566,710,26/04/16
HUB0211,BUTOGOTA HEALTH CENTRE II,UCMB,DHO,,,,,BUTOGOTA,KAYONZA,KINKIZI,KANUNGU,Medical,Out Patient and In Patient ,10,Yes,No,No,No,,19856,405,20/03/16
HUB0216,BUYAMBA DISPENSARY & MATERNITY CENTRE,UCMB,DHO,,,,,BUYAMBA,DDWANIRO,KOOKI,RAKAI,Maternity,Out Patient and In Patient ,31,Yes,No,No,No,,24858,1080,15/04/16
HUB0243,BYANSI CLINIC,KIGOYE HERMAN,DR SENOGA SIRAJ,"1-3,NALUBAALE&9,KLA ROAD",KATWE,KATWE-BUTEGO,MASAKA,,,,,Medical,Out Patient and In Patient ,18,Yes,Yes,Yes,Yes,"ECG,ECHOCADIOGRAPHY",18522,160,04/02/16
HUC0161,CALVARY MEDICAL CENTRE,"SSEMAKULA TIMOTHY, FAITH SSEMAKULA",DR OMODI ENGOLA RUFINO,MATUGGA,,WAKISO,WAKISO,,,,,Medical,Out Patient,,Yes,No,No,No,,2138,358,05/09/16
HUC0008,CAPITAL CARE MEDICAL CENTRE,KANYIKE DANIEL MUKASA,DR KANYIKE DANIEL MUKASA,NDEEBA,,LUBAGA,KAMPALA,,,,,Medical and Dental ,Out Patient and In Patient ,4,Yes,No,No,No,,24465,737,01/04/16
HUC0020,CASE MEDICAL CENTRE,SEBBAALE KATO ABDUL ABDALLAH,DR OPIKA OPOKA ROBERT A.,"69/71, BUGANDA RD",,CENTRAL,KAMPALA,,,,,Hospital ,Out Patient and In Patient ,85,Yes,Yes,Yes,Yes,"PHYSIO,FP,THEATRE ENDO",18296,148,08/02/16
HUC0027,CENTENARY MEDICAL CONSULTATION,KAKONGE BINTUBIZIBU Z.,DR KAKONGE BINTUBIZIBU Z,"72, KAMPALA RD",NTINDA,NAKAWA,KAMPALA,,,,,Medical,Out Patient ,,No,No,No,No,FP,21283,533,22/03/16
HUC0029,CENTRAL TREAMENT CENTRE,KATANAKA AND KASUMBA,DR WOIRA JOSEPH,,,,,KYENGERA,NSANGI,BUSIRO NORTH,WAKISO,Medical and Dental ,Out Patient and In Patient ,4,Yes,Yes,No,No,FP,18616,48,12/01/16
HUC0122,CHARIS HEALTH CENTRE,OKULLO JOEL,DR OKELLO JAMES,"129, BLOCK 7, JINJA CAMP",JINJA CAMP,OJWINA,LIRA,,,,,Medical and Dental ,Out Patient and In Patient ,18,Yes,Yes,No,No,"FP,IMMUNIZATION,PHYSIO",25075,1399,30/03/16
