"country","major_cost_category","program_area","year","expenditures","cost_category"
Uganda,Investment,Voluntary Medical Male Circumcision,2014,177578,Vehicles
Uganda,Investment,Voluntary Medical Male Circumcision,2014,734418,Equipment and furniture
Uganda,Investment,Voluntary Medical Male Circumcision,2014,60200,Other investment expenditures
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,8225978,Personnel
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,2717052,Non-ARV drugs and reagents
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,65547,HIV Test Kits
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,0,Condoms
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,2079891,Other supplies
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,2157,Food Supplements
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,147814,Building rental and Utilities
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,2695338,Travel / Transport
Uganda,Recurrent,Voluntary Medical Male Circumcision,2014,1709571,Other site recurrent expenditures
Uganda,Program Management,Voluntary Medical Male Circumcision,2014,3452701,Personnel
Uganda,Program Management,Voluntary Medical Male Circumcision,2014,95633,Consultants (External)
Uganda,Program Management,Voluntary Medical Male Circumcision,2014,437971,Transport & Travel
Uganda,Program Management,Voluntary Medical Male Circumcision,2014,2881748,Other General & Administrative
Uganda,Strategic Information,Voluntary Medical Male Circumcision,2014,249701,Personnel
Uganda,Strategic Information,Voluntary Medical Male Circumcision,2014,59682,Consultants (External)
Uganda,Strategic Information,Voluntary Medical Male Circumcision,2014,143764,Transport & Travel
Uganda,Strategic Information,Voluntary Medical Male Circumcision,2014,151135,Other General & Administrative
Uganda,Strategic Information,Voluntary Medical Male Circumcision,2014,100648,Program Management for SI
Uganda,Health Systems Strengthening,Voluntary Medical Male Circumcision,2014,795796,Personnel
Uganda,Health Systems Strengthening,Voluntary Medical Male Circumcision,2014,20457,Consultants (External)
Uganda,Health Systems Strengthening,Voluntary Medical Male Circumcision,2014,360571,Transport & Travel
Uganda,Health Systems Strengthening,Voluntary Medical Male Circumcision,2014,20332,Construction & renovation
Uganda,Health Systems Strengthening,Voluntary Medical Male Circumcision,2014,929651,Other General & Administrative
Uganda,Health Systems Strengthening,Voluntary Medical Male Circumcision,2014,29267,Program Management for HSS
Uganda,Health Systems Strengthening,Voluntary Medical Male Circumcision,2014,5925,Strategic Information for HSS
Uganda,Investment,HIV Testing and Counseling,2014,755082,Training (in-service)
Uganda,Investment,HIV Testing and Counseling,2014,38142,Construction & renovation
Uganda,Investment,HIV Testing and Counseling,2014,114517,Vehicles
Uganda,Investment,HIV Testing and Counseling,2014,29894,Equipment and furniture
Uganda,Investment,HIV Testing and Counseling,2014,77270,Other investment expenditures
Uganda,Recurrent,HIV Testing and Counseling,2014,3060097,Personnel
Uganda,Recurrent,HIV Testing and Counseling,2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,HIV Testing and Counseling,2014,188603,Non-ARV drugs and reagents
Uganda,Recurrent,HIV Testing and Counseling,2014,911200,HIV Test Kits
Uganda,Recurrent,HIV Testing and Counseling,2014,6901,Condoms
Uganda,Recurrent,HIV Testing and Counseling,2014,706642,Other supplies
Uganda,Recurrent,HIV Testing and Counseling,2014,1037,Food Supplements
Uganda,Recurrent,HIV Testing and Counseling,2014,70025,Building rental and Utilities
Uganda,Recurrent,HIV Testing and Counseling,2014,1126507,Travel / Transport
Uganda,Recurrent,HIV Testing and Counseling,2014,928099,Other site recurrent expenditures
Uganda,Program Management,HIV Testing and Counseling,2014,1866617,Personnel
Uganda,Program Management,HIV Testing and Counseling,2014,86081,Consultants (External)
Uganda,Program Management,HIV Testing and Counseling,2014,245095,Transport & Travel
Uganda,Program Management,HIV Testing and Counseling,2014,1310164,Other General & Administrative
Uganda,Strategic Information,HIV Testing and Counseling,2014,335674,Personnel
Uganda,Strategic Information,HIV Testing and Counseling,2014,91309,Consultants (External)
Uganda,Strategic Information,HIV Testing and Counseling,2014,102163,Transport & Travel
Uganda,Strategic Information,HIV Testing and Counseling,2014,238094,Other General & Administrative
Uganda,Strategic Information,HIV Testing and Counseling,2014,168921,Program Management for SI
Uganda,Health Systems Strengthening,HIV Testing and Counseling,2014,445226,Personnel
Uganda,Health Systems Strengthening,HIV Testing and Counseling,2014,64074,Consultants (External)
Uganda,Health Systems Strengthening,HIV Testing and Counseling,2014,143810,Transport & Travel
Uganda,Health Systems Strengthening,HIV Testing and Counseling,2014,23222,Construction & renovation
Uganda,Health Systems Strengthening,HIV Testing and Counseling,2014,446633,Other General & Administrative
Uganda,Health Systems Strengthening,HIV Testing and Counseling,2014,71171,Program Management for HSS
Uganda,Health Systems Strengthening,HIV Testing and Counseling,2014,46647,Strategic Information for HSS
Uganda,Investment,Post-exposure Prophylaxis,2014,8213,Training (in-service)
Uganda,Investment,Post-exposure Prophylaxis,2014,0,Construction & renovation
Uganda,Investment,Post-exposure Prophylaxis,2014,156,Vehicles
Uganda,Investment,Post-exposure Prophylaxis,2014,264,Equipment and furniture
Uganda,Investment,Post-exposure Prophylaxis,2014,0,Other investment expenditures
Uganda,Recurrent,Post-exposure Prophylaxis,2014,32405,Personnel
Uganda,Recurrent,Post-exposure Prophylaxis,2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,Post-exposure Prophylaxis,2014,5077,Non-ARV drugs and reagents
Uganda,Recurrent,Post-exposure Prophylaxis,2014,2830,HIV Test Kits
Uganda,Recurrent,Post-exposure Prophylaxis,2014,0,Condoms
Uganda,Recurrent,Post-exposure Prophylaxis,2014,9713,Other supplies
Uganda,Recurrent,Post-exposure Prophylaxis,2014,0,Food Supplements
Uganda,Recurrent,Post-exposure Prophylaxis,2014,1892,Building rental and Utilities
Uganda,Recurrent,Post-exposure Prophylaxis,2014,4343,Travel / Transport
Uganda,Recurrent,Post-exposure Prophylaxis,2014,1698,Other site recurrent expenditures
Uganda,Program Management,Post-exposure Prophylaxis,2014,14675,Personnel
Uganda,Program Management,Post-exposure Prophylaxis,2014,6501,Consultants (External)
Uganda,Program Management,Post-exposure Prophylaxis,2014,2595,Transport & Travel
Uganda,Program Management,Post-exposure Prophylaxis,2014,20221,Other General & Administrative
Uganda,Strategic Information,Post-exposure Prophylaxis,2014,5513,Personnel
Uganda,Strategic Information,Post-exposure Prophylaxis,2014,1635,Consultants (External)
Uganda,Strategic Information,Post-exposure Prophylaxis,2014,1436,Transport & Travel
Uganda,Strategic Information,Post-exposure Prophylaxis,2014,11476,Other General & Administrative
Uganda,Strategic Information,Post-exposure Prophylaxis,2014,704,Program Management for SI
Uganda,Health Systems Strengthening,Post-exposure Prophylaxis,2014,3375,Personnel
Uganda,Health Systems Strengthening,Post-exposure Prophylaxis,2014,0,Consultants (External)
Uganda,Health Systems Strengthening,Post-exposure Prophylaxis,2014,885,Transport & Travel
Uganda,Health Systems Strengthening,Post-exposure Prophylaxis,2014,0,Construction & renovation
Uganda,Health Systems Strengthening,Post-exposure Prophylaxis,2014,21513,Other General & Administrative
Uganda,Health Systems Strengthening,Post-exposure Prophylaxis,2014,24,Program Management for HSS
Uganda,Health Systems Strengthening,Post-exposure Prophylaxis,2014,232,Strategic Information for HSS
Uganda,Investment,Blood Safety,2014,14785,Training (in-service)
Uganda,Investment,Blood Safety,2014,0,Construction & renovation
Uganda,Investment,Blood Safety,2014,233851,Vehicles
Uganda,Investment,Blood Safety,2014,148659,Equipment and furniture
Uganda,Investment,Blood Safety,2014,0,Other investment expenditures
Uganda,Recurrent,Blood Safety,2014,354636,Personnel
Uganda,Recurrent,Blood Safety,2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,Blood Safety,2014,2135,Non-ARV drugs and reagents
Uganda,Recurrent,Blood Safety,2014,0,HIV Test Kits
Uganda,Recurrent,Blood Safety,2014,0,Condoms
Uganda,Recurrent,Blood Safety,2014,96976,Other supplies
Uganda,Recurrent,Blood Safety,2014,0,Food Supplements
Uganda,Recurrent,Blood Safety,2014,251,Building rental and Utilities
Uganda,Recurrent,Blood Safety,2014,445856,Travel / Transport
Uganda,Recurrent,Blood Safety,2014,165739,Other site recurrent expenditures
Uganda,Program Management,Blood Safety,2014,27413,Personnel
Uganda,Program Management,Blood Safety,2014,8604,Consultants (External)
Uganda,Program Management,Blood Safety,2014,5577,Transport & Travel
Uganda,Program Management,Blood Safety,2014,46364,Other General & Administrative
Uganda,Strategic Information,Blood Safety,2014,5589,Personnel
Uganda,Strategic Information,Blood Safety,2014,3269,Consultants (External)
Uganda,Strategic Information,Blood Safety,2014,2431,Transport & Travel
Uganda,Strategic Information,Blood Safety,2014,19920,Other General & Administrative
Uganda,Strategic Information,Blood Safety,2014,1109,Program Management for SI
Uganda,Health Systems Strengthening,Blood Safety,2014,1961,Personnel
Uganda,Health Systems Strengthening,Blood Safety,2014,0,Consultants (External)
Uganda,Health Systems Strengthening,Blood Safety,2014,74,Transport & Travel
Uganda,Health Systems Strengthening,Blood Safety,2014,0,Construction & renovation
Uganda,Health Systems Strengthening,Blood Safety,2014,605,Other General & Administrative
Uganda,Health Systems Strengthening,Blood Safety,2014,0,Program Management for HSS
Uganda,Health Systems Strengthening,Blood Safety,2014,203,Strategic Information for HSS
Uganda,Investment,Lab,2014,544441,Training (in-service)
Uganda,Investment,Lab,2014,2042298,Construction & renovation
Uganda,Investment,Lab,2014,82476,Vehicles
Uganda,Investment,Lab,2014,756577,Equipment and furniture
Uganda,Investment,Lab,2014,43091,Other investment expenditures
Uganda,Recurrent,Lab,2014,2342964,Personnel
Uganda,Recurrent,Lab,2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,Lab,2014,15960779,Non-ARV drugs and reagents
Uganda,Recurrent,Lab,2014,376089,HIV Test Kits
Uganda,Recurrent,Lab,2014,9228,Condoms
Uganda,Recurrent,Lab,2014,1008082,Other supplies
Uganda,Recurrent,Lab,2014,0,Food Supplements
Uganda,Recurrent,Lab,2014,275678,Building rental and Utilities
Uganda,Recurrent,Lab,2014,831282,Travel / Transport
Uganda,Recurrent,Lab,2014,1595441,Other site recurrent expenditures
Uganda,Program Management,Lab,2014,2113513,Personnel
Uganda,Program Management,Lab,2014,159177,Consultants (External)
Uganda,Program Management,Lab,2014,262013,Transport & Travel
Uganda,Program Management,Lab,2014,1841905,Other General & Administrative
Uganda,Strategic Information,Lab,2014,368074,Personnel
Uganda,Strategic Information,Lab,2014,27345,Consultants (External)
Uganda,Strategic Information,Lab,2014,81038,Transport & Travel
Uganda,Strategic Information,Lab,2014,163170,Other General & Administrative
Uganda,Strategic Information,Lab,2014,148029,Program Management for SI
Uganda,Health Systems Strengthening,Lab,2014,212230,Personnel
Uganda,Health Systems Strengthening,Lab,2014,12645,Consultants (External)
Uganda,Health Systems Strengthening,Lab,2014,100596,Transport & Travel
Uganda,Health Systems Strengthening,Lab,2014,20151,Construction & renovation
Uganda,Health Systems Strengthening,Lab,2014,610208,Other General & Administrative
Uganda,Health Systems Strengthening,Lab,2014,40531,Program Management for HSS
Uganda,Health Systems Strengthening,Lab,2014,21625,Strategic Information for HSS
Uganda,Investment,Infection Control,2014,146695,Training (in-service)
Uganda,Investment,Infection Control,2014,13332,Construction & renovation
Uganda,Investment,Infection Control,2014,759,Vehicles
Uganda,Investment,Infection Control,2014,12440,Equipment and furniture
Uganda,Investment,Infection Control,2014,0,Other investment expenditures
Uganda,Recurrent,Infection Control,2014,58757,Personnel
Uganda,Recurrent,Infection Control,2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,Infection Control,2014,31935,Non-ARV drugs and reagents
Uganda,Recurrent,Infection Control,2014,0,HIV Test Kits
Uganda,Recurrent,Infection Control,2014,0,Condoms
Uganda,Recurrent,Infection Control,2014,179653,Other supplies
Uganda,Recurrent,Infection Control,2014,0,Food Supplements
Uganda,Recurrent,Infection Control,2014,6657,Building rental and Utilities
Uganda,Recurrent,Infection Control,2014,48973,Travel / Transport
Uganda,Recurrent,Infection Control,2014,58750,Other site recurrent expenditures
Uganda,Program Management,Infection Control,2014,44493,Personnel
Uganda,Program Management,Infection Control,2014,12720,Consultants (External)
Uganda,Program Management,Infection Control,2014,17911,Transport & Travel
Uganda,Program Management,Infection Control,2014,120005,Other General & Administrative
Uganda,Strategic Information,Infection Control,2014,27078,Personnel
Uganda,Strategic Information,Infection Control,2014,5377,Consultants (External)
Uganda,Strategic Information,Infection Control,2014,7238,Transport & Travel
Uganda,Strategic Information,Infection Control,2014,62744,Other General & Administrative
Uganda,Strategic Information,Infection Control,2014,44446,Program Management for SI
Uganda,Health Systems Strengthening,Infection Control,2014,55388,Personnel
Uganda,Health Systems Strengthening,Infection Control,2014,1007,Consultants (External)
Uganda,Health Systems Strengthening,Infection Control,2014,10328,Transport & Travel
Uganda,Health Systems Strengthening,Infection Control,2014,19514,Construction & renovation
Uganda,Health Systems Strengthening,Infection Control,2014,145330,Other General & Administrative
Uganda,Health Systems Strengthening,Infection Control,2014,24,Program Management for HSS
Uganda,Health Systems Strengthening,Infection Control,2014,536,Strategic Information for HSS
Uganda,Investment,Orphans and Vulnerable Children,2014,3434888,Training (in-service)
Uganda,Investment,Orphans and Vulnerable Children,2014,14355,Construction & renovation
Uganda,Investment,Orphans and Vulnerable Children,2014,34295,Vehicles
Uganda,Investment,Orphans and Vulnerable Children,2014,16300,Equipment and furniture
Uganda,Investment,Orphans and Vulnerable Children,2014,721347,Other investment expenditures
Uganda,Recurrent,Orphans and Vulnerable Children,2014,2416609,Personnel
Uganda,Recurrent,Orphans and Vulnerable Children,2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,Orphans and Vulnerable Children,2014,25713,Non-ARV drugs and reagents
Uganda,Recurrent,Orphans and Vulnerable Children,2014,0,HIV Test Kits
Uganda,Recurrent,Orphans and Vulnerable Children,2014,0,Condoms
Uganda,Recurrent,Orphans and Vulnerable Children,2014,1955863,Other supplies
Uganda,Recurrent,Orphans and Vulnerable Children,2014,75549,Food Supplements
Uganda,Recurrent,Orphans and Vulnerable Children,2014,360538,Building rental and Utilities
Uganda,Recurrent,Orphans and Vulnerable Children,2014,2100712,Travel / Transport
Uganda,Recurrent,Orphans and Vulnerable Children,2014,280485,Other site recurrent expenditures
Uganda,Program Management,Orphans and Vulnerable Children,2014,1176079,Personnel
Uganda,Program Management,Orphans and Vulnerable Children,2014,38372,Consultants (External)
Uganda,Program Management,Orphans and Vulnerable Children,2014,125644,Transport & Travel
Uganda,Program Management,Orphans and Vulnerable Children,2014,2484423,Other General & Administrative
Uganda,Strategic Information,Orphans and Vulnerable Children,2014,195076,Personnel
Uganda,Strategic Information,Orphans and Vulnerable Children,2014,72162,Consultants (External)
Uganda,Strategic Information,Orphans and Vulnerable Children,2014,115276,Transport & Travel
Uganda,Strategic Information,Orphans and Vulnerable Children,2014,305263,Other General & Administrative
Uganda,Strategic Information,Orphans and Vulnerable Children,2014,102670,Program Management for SI
Uganda,Health Systems Strengthening,Orphans and Vulnerable Children,2014,1556347,Personnel
Uganda,Health Systems Strengthening,Orphans and Vulnerable Children,2014,170052,Consultants (External)
Uganda,Health Systems Strengthening,Orphans and Vulnerable Children,2014,328908,Transport & Travel
Uganda,Health Systems Strengthening,Orphans and Vulnerable Children,2014,7769,Construction & renovation
Uganda,Health Systems Strengthening,Orphans and Vulnerable Children,2014,2500218,Other General & Administrative
Uganda,Health Systems Strengthening,Orphans and Vulnerable Children,2014,267639,Program Management for HSS
Uganda,Health Systems Strengthening,Orphans and Vulnerable Children,2014,169353,Strategic Information for HSS
Uganda,Investment,"Sexual and Other Risk Prevention, General Population",2014,218765,Training (in-service)
Uganda,Investment,"Sexual and Other Risk Prevention, General Population",2014,540,Construction & renovation
Uganda,Investment,"Sexual and Other Risk Prevention, General Population",2014,0,Vehicles
Uganda,Investment,"Sexual and Other Risk Prevention, General Population",2014,5533,Equipment and furniture
Uganda,Investment,"Sexual and Other Risk Prevention, General Population",2014,0,Other investment expenditures
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,1134396,Personnel
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,56,Non-ARV drugs and reagents
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,0,HIV Test Kits
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,1382220,Condoms
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,620117,Other supplies
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,49645,Food Supplements
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,128690,Building rental and Utilities
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,486560,Travel / Transport
Uganda,Recurrent,"Sexual and Other Risk Prevention, General Population",2014,430000,Other site recurrent expenditures
Uganda,Program Management,"Sexual and Other Risk Prevention, General Population",2014,444498,Personnel
Uganda,Program Management,"Sexual and Other Risk Prevention, General Population",2014,7847,Consultants (External)
Uganda,Program Management,"Sexual and Other Risk Prevention, General Population",2014,63472,Transport & Travel
Uganda,Program Management,"Sexual and Other Risk Prevention, General Population",2014,262266,Other General & Administrative
Uganda,Strategic Information,"Sexual and Other Risk Prevention, General Population",2014,312657,Personnel
Uganda,Strategic Information,"Sexual and Other Risk Prevention, General Population",2014,8108,Consultants (External)
Uganda,Strategic Information,"Sexual and Other Risk Prevention, General Population",2014,18817,Transport & Travel
Uganda,Strategic Information,"Sexual and Other Risk Prevention, General Population",2014,178904,Other General & Administrative
Uganda,Strategic Information,"Sexual and Other Risk Prevention, General Population",2014,14769,Program Management for SI
Uganda,Health Systems Strengthening,"Sexual and Other Risk Prevention, General Population",2014,63872,Personnel
Uganda,Health Systems Strengthening,"Sexual and Other Risk Prevention, General Population",2014,12399,Consultants (External)
Uganda,Health Systems Strengthening,"Sexual and Other Risk Prevention, General Population",2014,48975,Transport & Travel
Uganda,Health Systems Strengthening,"Sexual and Other Risk Prevention, General Population",2014,4157,Construction & renovation
Uganda,Health Systems Strengthening,"Sexual and Other Risk Prevention, General Population",2014,140802,Other General & Administrative
Uganda,Health Systems Strengthening,"Sexual and Other Risk Prevention, General Population",2014,4360,Program Management for HSS
Uganda,Health Systems Strengthening,"Sexual and Other Risk Prevention, General Population",2014,2210,Strategic Information for HSS
Uganda,Investment,"Sexual and Other Risk Prevention, Key Populations",2014,0,Training (in-service)
Uganda,Investment,"Sexual and Other Risk Prevention, Key Populations",2014,0,Construction & renovation
Uganda,Investment,"Sexual and Other Risk Prevention, Key Populations",2014,0,Vehicles
Uganda,Investment,"Sexual and Other Risk Prevention, Key Populations",2014,0,Equipment and furniture
Uganda,Investment,"Sexual and Other Risk Prevention, Key Populations",2014,0,Other investment expenditures
Uganda,Recurrent,"Sexual and Other Risk Prevention, Key Populations",2014,0,Personnel
Uganda,Recurrent,"Sexual and Other Risk Prevention, Key Populations",2014,0,Antiretroviral drugs (ARVs)
Uganda,Recurrent,"Sexual and Other Risk Prevention, Key Populations",2014,0,Non-ARV drugs and reagents
Uganda,Recurrent,"Sexual and Other Risk Prevention, Key Populations",2014,0,HIV Test Kits
Uganda,Recurrent,"Sexual and Other Risk Prevention, Key Populations",2014,0,Condoms
Uganda,Recurrent,"Sexual and Other Risk Prevention, Key Populations",2014,0,Other supplies
